algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall
dp-fedavg,label_flip,fashion_mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,0,6.340948878747915,0.10828199736773968,2.3179596352577208,0.0,2.639284793138504,2.6395019936561583,3.0,1.0,0.0
dp-fedavg,label_flip,fashion_mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,1,7.527218142511456,0.13023099645506592,2.298408842086792,0.0,2.6389161413908004,2.6381967210769655,2.5,1.0,0.0
dp-fedavg,label_flip,fashion_mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,2,8.014028447951489,0.15073749613948167,2.2764431369304656,0.0,2.6392895835638046,2.6403483152389526,2.5,1.0,0.0
dp-fedavg,label_flip,fashion_mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,3,8.500838753391522,0.16813249569386243,2.2541760927438736,0.0,2.638685511946678,2.6389423561096192,2.5,1.0,0.0
dp-fedavg,label_flip,fashion_mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,4,8.987649058831554,0.18230124594643712,2.2321538960933687,0.0,2.639457814693451,2.639490647315979,2.5,1.0,0.0
dp-fedavg,label_flip,fashion_mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,5,9.474459364271587,0.19562549464404583,2.211908079981804,0.0,2.6391398298740385,2.640444085597992,2.5,1.0,0.0
dp-fedavg,label_flip,fashion_mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,6,9.961269669711617,0.20699324471876024,2.188508302569389,0.0,2.6392274820804595,2.6389181232452392,2.5,1.0,0.0
dp-fedavg,label_flip,fashion_mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,7,10.44807997515165,0.22011574484407903,2.1647783601284027,0.0,2.639962367415428,2.639514627456665,2.5,1.0,0.0
dp-fedavg,label_flip,fashion_mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,8,10.934890280591683,0.23099949397146702,2.142588756084442,0.0,2.638952470421791,2.6408941388130187,2.5,1.0,0.0
dp-fedavg,label_flip,fashion_mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,9,11.384102372721015,0.24230599395930766,2.120677637159824,0.0,2.639249609708786,2.63985805273056,2.0,1.0,0.0
dp-fedavg,label_flip,fashion_mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,10,11.509849499608084,0.25433424372226,2.0977670085430145,0.0,2.6386799424886704,2.637953107357025,2.0,1.0,0.0
dp-fedavg,label_flip,fashion_mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,11,11.63559662649515,0.26587974328547714,2.073079597949982,0.0,2.6388409143686293,2.6410216379165647,2.0,1.0,0.0
dp-fedavg,label_flip,fashion_mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,12,11.761343753382219,0.2757754921168089,2.0512387827038765,0.0,2.6390386533737185,2.639852421283722,2.0,1.0,0.0
dp-fedavg,label_flip,fashion_mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,13,11.887090880269287,0.2855884935706854,2.027184701859951,0.0,2.63897813141346,2.640059516429901,2.0,1.0,0.0
dp-fedavg,label_flip,fashion_mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,14,12.012838007156354,0.2950122419372201,2.0056107035279274,0.0,2.638884842991829,2.640230655670166,2.0,1.0,0.0
dp-fedavg,label_flip,fashion_mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,15,12.138585134043423,0.30496874283999204,1.9830266878008842,0.0,2.639528521299362,2.63907066822052,2.0,1.0,0.0
dp-fedavg,label_flip,fashion_mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,16,12.26433226093049,0.3156352422386408,1.9561924174427987,0.0,2.6389506047964097,2.638098726272583,2.0,1.0,0.0
dp-fedavg,label_flip,fashion_mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,17,12.390079387817558,0.32450849160552026,1.9348537155985832,0.0,2.639163943529129,2.6407857370376586,2.0,1.0,0.0
dp-fedavg,label_flip,fashion_mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,18,12.515826514704624,0.33436724163591863,1.9110131540894508,0.0,2.6394521296024323,2.6389561748504637,2.0,1.0,0.0
dp-fedavg,label_flip,fashion_mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,19,12.641573641591693,0.34211299069225787,1.8878284800052643,0.0,2.639470480084419,2.63894828081131,2.0,1.0,0.0
dp-fedavg,label_flip,fashion_mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,20,12.76732076847876,0.34975924108177425,1.8686487147212028,0.0,2.6396588104963303,2.6402176451683044,2.0,1.0,0.0
dp-fedavg,label_flip,fashion_mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,21,12.893067895365828,0.36023374043405054,1.844238056242466,0.0,2.639360021352768,2.6390499830245973,2.0,1.0,0.0
dp-fedavg,label_flip,fashion_mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,22,13.018815022252895,0.3699679906666279,1.819529176056385,0.0,2.6402143168449403,2.6386662316322327,2.0,1.0,0.0
dp-fedavg,label_flip,fashion_mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,23,13.144562149139963,0.3781952403113246,1.7965272331237794,0.0,2.639338738322258,2.639037787914276,2.0,1.0,0.0
dp-fedavg,label_flip,fashion_mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,24,13.27030927602703,0.38683949057012795,1.7720933756232262,0.0,2.638706307411194,2.639782054424286,2.0,1.0,0.0
dp-fedavg,label_flip,fashion_mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,25,13.396056402914098,0.3950602408498526,1.7504404553771018,0.0,2.639467580914497,2.6394403052330015,2.0,1.0,0.0
dp-fedavg,label_flip,fashion_mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,26,13.521803529801165,0.40245223995298146,1.7281602662801743,0.0,2.6395961624383926,2.63976078748703,2.0,1.0,0.0
dp-fedavg,label_flip,fashion_mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,27,13.647550656688233,0.4109559893235564,1.7054183983802795,0.0,2.6385912907123568,2.638935399055481,2.0,1.0,0.0
dp-fedavg,label_flip,fashion_mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,28,13.7732977835753,0.41831298913806675,1.6872377324104308,0.0,2.639552756547928,2.6396037888526918,2.0,1.0,0.0
dp-fedavg,label_flip,fashion_mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,29,13.899044910462369,0.42463373895734546,1.6689222359657288,0.0,2.6398977601528166,2.638291771411896,2.0,1.0,0.0
dp-fedavg,label_flip,fashion_mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,30,14.024792037349435,0.4305579885467887,1.6495003101229668,0.0,2.6391723573207857,2.639522922039032,2.0,1.0,0.0
dp-fedavg,label_flip,fashion_mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,31,14.150539164236504,0.4383517387509346,1.6281433647871018,0.0,2.6398678064346313,2.6402245569229126,2.0,1.0,0.0
dp-fedavg,label_flip,fashion_mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,32,14.27628629112357,0.44415923915803435,1.6104174208641053,0.0,2.6396743404865264,2.6394868516921997,2.0,1.0,0.0
dp-fedavg,label_flip,fashion_mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,33,14.402033418010639,0.4514827383682132,1.5905111864209176,0.0,2.6392804300785064,2.6394104075431826,2.0,1.0,0.0
dp-fedavg,label_flip,fashion_mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,34,14.527780544897707,0.45913448840379717,1.5700034114718437,0.0,2.6396918523311617,2.6383701491355898,2.0,1.0,0.0
dp-fedavg,label_flip,fashion_mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,35,14.653527671784774,0.4651652377098799,1.550867921113968,0.0,2.639295506477356,2.640484936237335,2.0,1.0,0.0
