algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,10,0,6.340948878747915,0.14725224683061242,2.2788461369276045,0.0,2.639285743832588,2.6395136284828187,3.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,10,1,7.527218142511456,0.15867249626666308,2.2650334417819975,0.0,2.638923755288124,2.638194572925568,2.5,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,10,2,8.014028447951489,0.17068699553608893,2.250384982228279,0.0,2.639298815727234,2.640320518016815,2.5,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,10,3,8.500838753391522,0.1798067452944815,2.236191220283508,0.0,2.6386827480793,2.6389566802978517,2.5,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,10,4,8.987649058831554,0.18979399548843504,2.223125560283661,0.0,2.6394523572921753,2.639474015235901,2.5,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,10,5,9.474459364271587,0.20085824528709054,2.2075996029376985,0.0,2.6391420936584473,2.640470952987671,2.5,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,10,6,9.961269669711617,0.21043799463659524,2.1918766582012177,0.0,2.6392301219701766,2.638899397850037,2.5,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,10,7,10.44807997515165,0.21973374458029865,2.1763197100162506,0.0,2.6399655771255492,2.6395207238197327,2.5,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,10,8,10.934890280591683,0.22868024408817292,2.1609005624055864,0.0,2.6389585047960282,2.640921268463135,2.5,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,10,9,11.384102372721015,0.23591424357146024,2.146907707750797,0.0,2.6392345374822614,2.639863204956055,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,10,10,11.509849499608084,0.2439749939693138,2.138152648508549,0.0,2.6386721539497375,11.083594236373902,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,10,11,11.63559662649515,0.245056744501926,2.738577761352062,0.0,2.638838769197464,10.372669372558594,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,10,12,11.761343753382219,0.24859349354170263,32.694316811561585,0.0,2.639050820469856,33.36481876373291,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,10,13,11.887090880269287,0.2536294934619218,316.7104587718844,0.0,2.6389828807115556,168.18327056884766,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,10,14,12.012838007156354,0.2566244927700609,19662.079435033796,0.0,2.6388986414670943,931.4604931640625,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,10,15,12.138585134043423,0.25971349370665847,633720.8606087884,0.0,2.6395183503627777,5176.139750976563,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,10,16,12.26433226093049,0.264227493647486,47014383.774510555,0.0,2.638946323394775,29885.68080078125,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,10,17,12.390079387817558,0.26717349314130845,1113641934.502963,0.0,2.6391633117198943,176664.7965625,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,10,18,12.515826514704624,0.27011874280869963,75049803843.78082,0.0,2.639443652033806,1121908.09375,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,10,19,12.641573641591693,0.2723657425586134,4823771799881.888,0.0,2.639481956362724,7557022.29,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,10,20,12.76732076847876,0.27229274238459766,222483054404356.72,0.0,2.6396542948484423,51567608.52,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,10,21,12.893067895365828,0.2748219922464341,8291836833811788.0,0.0,2.639363599419594,368821588.16,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,10,22,13.018815022252895,0.27685374215245245,8.08642595805283e+17,0.0,2.640206607580185,2734179115.52,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,10,23,13.144562149139963,0.27869674177840353,3.5795779454089986e+19,0.0,2.63933680832386,20368796999.68,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,10,24,13.27030927602703,0.2812119924835861,2.428835261401821e+21,0.0,2.6387119835615156,154188750028.8,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,10,25,13.396056402914098,0.2832144923042506,1.2278048615574102e+23,0.0,2.639465413689613,1186492452700.16,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,10,26,13.521803529801165,0.2839037423208356,4.1882436931757106e+24,0.0,2.6395871871709824,9076617888399.36,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,10,27,13.647550656688233,0.28646599121391775,3.531323701679341e+26,0.0,2.6386039102077485,72618850784378.88,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,10,28,13.7732977835753,0.28625724179670214,4.354306053406115e+28,0.0,2.639558771252632,562855048065843.2,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,10,29,13.899044910462369,0.28991699166595936,1.5581811042121927e+30,0.0,2.6399089986085893,4300790052956406.0,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,10,30,14.024792037349435,0.29185349168255925,1.102178756380979e+32,0.0,2.639176077246666,3.3522839208413104e+16,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,10,31,14.150539164236504,0.2930624915845692,inf,0.0,2.639867568016052,2.6182171849606038e+17,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,10,32,14.27628629112357,0.2926844915561378,inf,0.0,2.6396770799160003,2.0564522683354368e+18,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,10,33,14.402033418010639,0.2958139914274216,nan,0.0,2.6392817533016206,1.5832296484993782e+19,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,10,34,14.527780544897707,0.29167974228039384,nan,0.0,nan,nan,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,10,35,14.653527671784774,0.2902367416955531,nan,0.0,nan,nan,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,10,36,14.77927479867184,0.2892074921727181,nan,0.0,nan,nan,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,10,37,14.90502192555891,0.2906244916841388,nan,0.0,nan,nan,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,10,38,15.030769052445978,0.2804469925351441,nan,0.0,nan,nan,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,10,39,15.156516179333044,0.2770099928416312,nan,0.0,nan,nan,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,10,40,15.282263306220111,0.26929574184119703,nan,0.0,nan,nan,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,10,41,15.408010433107181,0.25888349281623957,nan,0.0,nan,nan,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,10,42,15.533757559994248,0.25534274339675905,nan,0.0,nan,nan,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,10,43,15.659504686881315,0.25191399348899723,nan,0.0,nan,nan,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,10,44,15.785251813768381,0.24063124367967248,nan,0.0,nan,nan,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,10,45,15.910998940655448,0.23859949363395572,nan,0.0,nan,nan,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,10,46,16.03674606754252,0.23680674348026515,nan,0.0,nan,nan,2.0,1.0,0.0
