algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall
dp-fedavg,sign_flip,fashion_mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,0,6.340948878747915,0.10855999736115336,2.317444377541542,0.0,2.639284793138504,2.6395015859603883,3.0,1.0,0.0
dp-fedavg,sign_flip,fashion_mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,1,7.527218142511456,0.13103799648117273,2.297177467942238,0.0,2.6389161729812622,2.638199965953827,2.5,1.0,0.0
dp-fedavg,sign_flip,fashion_mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,2,8.014028447951489,0.1518984962347895,2.2745723479986193,0.0,2.639289608001709,2.6403332018852232,2.5,1.0,0.0
dp-fedavg,sign_flip,fashion_mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,3,8.500838753391522,0.16985399544239044,2.2514528834819796,0.0,2.6386854821443557,2.638961527347565,2.5,1.0,0.0
dp-fedavg,sign_flip,fashion_mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,4,8.987649058831554,0.18425749573856592,2.2287788301706315,0.0,2.639457806348801,2.6394892954826354,2.5,1.0,0.0
dp-fedavg,sign_flip,fashion_mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,5,9.474459364271587,0.197931494358927,2.207738358974457,0.0,2.6391398084163664,2.640428104400635,2.5,1.0,0.0
dp-fedavg,sign_flip,fashion_mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,6,9.961269669711617,0.20945574466139077,2.183871379494667,0.0,2.6392273861169815,2.638907494544983,2.5,1.0,0.0
dp-fedavg,sign_flip,fashion_mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,7,10.44807997515165,0.22296049488708378,2.159672111272812,0.0,2.6399622678756716,2.6395144081115722,2.5,1.0,0.0
dp-fedavg,sign_flip,fashion_mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,8,10.934890280591683,0.23425399374216796,2.136794224381447,0.0,2.638952467441559,2.6409049677848815,2.5,1.0,0.0
dp-fedavg,sign_flip,fashion_mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,9,11.384102372721015,0.24578474376350642,2.1140663430094717,0.0,2.639249570965767,2.639865074157715,2.0,1.0,0.0
dp-fedavg,sign_flip,fashion_mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,10,11.509849499608084,0.2579837434738874,2.0905045211315154,0.0,2.638680018186569,2.637946071624756,2.0,1.0,0.0
dp-fedavg,sign_flip,fashion_mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,11,11.63559662649515,0.2699674934521317,2.065014147758484,0.0,2.6388408970832824,2.6410314655303955,2.0,1.0,0.0
dp-fedavg,sign_flip,fashion_mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,12,11.761343753382219,0.2802082424983382,2.042219627201557,0.0,2.6390387439727783,2.639861807823181,2.0,1.0,0.0
dp-fedavg,sign_flip,fashion_mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,13,11.887090880269287,0.2899469929561019,2.0179617208242417,0.0,2.638978216648102,2.6400738167762756,2.0,1.0,0.0
dp-fedavg,sign_flip,fashion_mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,14,12.012838007156354,0.2995487422123551,1.9959130853414535,0.0,2.638884980082512,2.6402488946914673,2.0,1.0,0.0
dp-fedavg,sign_flip,fashion_mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,15,12.138585134043423,0.3097764921560884,1.9728156307339668,0.0,2.6395286375284197,2.639089026451111,2.0,1.0,0.0
dp-fedavg,sign_flip,fashion_mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,16,12.26433226093049,0.320788242444396,1.94519786298275,0.0,2.638950786590576,2.638087062835693,2.0,1.0,0.0
dp-fedavg,sign_flip,fashion_mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,17,12.390079387817558,0.32956424094736575,1.9236560955643653,0.0,2.639164062142372,2.6408083844184875,2.0,1.0,0.0
dp-fedavg,sign_flip,fashion_mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,18,12.515826514704624,0.3395924909412861,1.8993840506672859,0.0,2.639452161192894,2.638956563472748,2.0,1.0,0.0
dp-fedavg,sign_flip,fashion_mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,19,12.641573641591693,0.3474237407743931,1.8756731304526328,0.0,2.6394706207513807,2.638949372768402,2.0,1.0,0.0
