algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall
dp-fedavg,label_flip,fashion_mnist,42,500,150,0.5,0.0234,0.05,iid,1.0,50,0,6.340948878747915,0.10811485453375748,2.3181493827274866,0.0,2.639170723642622,2.6396969985961913,3.0,1.0,0.0
dp-fedavg,label_flip,fashion_mnist,42,500,150,0.5,0.0234,0.05,iid,1.0,50,1,7.527218142511456,0.12947799661862,2.298779151780265,0.0,2.6387419836861747,2.6388423458735146,2.5,1.0,0.0
dp-fedavg,label_flip,fashion_mnist,42,500,150,0.5,0.0234,0.05,iid,1.0,50,2,8.014028447951489,0.14926913911742823,2.277592490059989,0.0,2.6392157309395925,2.640164047876994,2.5,1.0,0.0
dp-fedavg,label_flip,fashion_mnist,42,500,150,0.5,0.0234,0.05,iid,1.0,50,3,8.500838753391522,0.16742913846458707,2.2550196041379658,0.0,2.6384518153326852,2.639401624997457,2.5,1.0,0.0
dp-fedavg,label_flip,fashion_mnist,42,500,150,0.5,0.0234,0.05,iid,1.0,50,4,8.987649058831554,0.18142142438462802,2.2336985438210624,0.0,2.639297799382891,2.6398570203781127,2.5,1.0,0.0
dp-fedavg,label_flip,fashion_mnist,42,500,150,0.5,0.0234,0.05,iid,1.0,50,5,9.474459364271587,0.19515599450894763,2.2132613168443953,0.0,2.639205183301653,2.6398686599731445,2.5,1.0,0.0
dp-fedavg,label_flip,fashion_mnist,42,500,150,0.5,0.0234,0.05,iid,1.0,50,6,9.961269669711617,0.2060928517792906,2.1901699270520893,0.0,2.639292988095965,2.6388635937372844,2.5,1.0,0.0
dp-fedavg,label_flip,fashion_mnist,42,500,150,0.5,0.0234,0.05,iid,1.0,50,7,10.44807997515165,0.22030056627733366,2.166302453449794,0.0,2.6402065856116157,2.639091502825419,2.5,1.0,0.0
dp-fedavg,label_flip,fashion_mnist,42,500,150,0.5,0.0234,0.05,iid,1.0,50,8,10.934890280591683,0.2307537080347538,2.1446390012332373,0.0,2.638936504636492,2.6402767070134483,2.5,1.0,0.0
dp-fedavg,label_flip,fashion_mnist,42,500,150,0.5,0.0234,0.05,iid,1.0,50,9,11.384102372721015,0.24280656578285353,2.1221245213917324,0.0,2.63912410395486,2.6399444055557253,2.0,1.0,0.0
dp-fedavg,label_flip,fashion_mnist,42,500,150,0.5,0.0234,0.05,iid,1.0,50,10,11.509849499608084,0.25473942232983454,2.0989633321762087,0.0,2.6387171213967457,2.638112867673238,2.0,1.0,0.0
dp-fedavg,label_flip,fashion_mnist,42,500,150,0.5,0.0234,0.05,iid,1.0,50,11,11.63559662649515,0.26634913593530657,2.0742694200788225,0.0,2.639028590066092,2.6398555612564087,2.0,1.0,0.0
dp-fedavg,label_flip,fashion_mnist,42,500,150,0.5,0.0234,0.05,iid,1.0,50,12,11.761343753382219,0.27698856370789665,2.0517162925856454,0.0,2.638986896106175,2.6397092167536416,2.0,1.0,0.0
dp-fedavg,label_flip,fashion_mnist,42,500,150,0.5,0.0234,0.05,iid,1.0,50,13,11.887090880269287,0.287091135936124,2.0265144681930543,0.0,2.639026026725769,2.639595243136088,2.0,1.0,0.0
dp-fedavg,label_flip,fashion_mnist,42,500,150,0.5,0.0234,0.05,iid,1.0,50,14,12.012838007156354,0.29652456402778626,2.004380431175232,0.0,2.639023560796465,2.6394786183039347,2.0,1.0,0.0
dp-fedavg,label_flip,fashion_mnist,42,500,150,0.5,0.0234,0.05,iid,1.0,50,15,12.138585134043423,0.30671856343746184,1.9824706864356996,0.0,2.6396666846956527,2.638893526395162,2.0,1.0,0.0
dp-fedavg,label_flip,fashion_mnist,42,500,150,0.5,0.0234,0.05,iid,1.0,50,16,12.26433226093049,0.31740684981857026,1.9567748158318656,0.0,2.6391847453798567,2.6378291273117065,2.0,1.0,0.0
dp-fedavg,label_flip,fashion_mnist,42,500,150,0.5,0.0234,0.05,iid,1.0,50,17,12.390079387817558,0.32565027743577957,1.934362908090864,0.0,2.638862553324018,2.6409524329503378,2.0,1.0,0.0
dp-fedavg,label_flip,fashion_mnist,42,500,150,0.5,0.0234,0.05,iid,1.0,50,18,12.515826514704624,0.3361748484628541,1.911859427860805,0.0,2.6395274591445923,2.6389384682973227,2.0,1.0,0.0
dp-fedavg,label_flip,fashion_mnist,42,500,150,0.5,0.0234,0.05,iid,1.0,50,19,12.641573641591693,0.3439339917898178,1.8881678996767317,0.0,2.639626637186323,2.638768304189046,2.0,1.0,0.0
dp-fedavg,label_flip,fashion_mnist,42,500,150,0.5,0.0234,0.05,iid,1.0,50,20,12.76732076847876,0.35193713324410575,1.8679137335504805,0.0,2.6397448205947875,2.6398250420888263,2.0,1.0,0.0
