algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall
dp-fedavg,label_flip,mnist,42,500,150,0.5,0.0234,0.05,iid,1.0,50,0,6.340948878747915,0.14653142524617058,2.279319611958095,0.0,2.6391713755471367,2.6397109015782676,3.0,1.0,0.0
dp-fedavg,label_flip,mnist,42,500,150,0.5,0.0234,0.05,iid,1.0,50,1,7.527218142511456,0.15722342465605055,2.266251971381051,0.0,2.6387491035461426,2.638842690785726,2.5,1.0,0.0
dp-fedavg,label_flip,mnist,42,500,150,0.5,0.0234,0.05,iid,1.0,50,2,8.014028447951489,0.16787770992943218,2.252242170061384,0.0,2.6392233201435635,2.6401509475708007,2.5,1.0,0.0
dp-fedavg,label_flip,mnist,42,500,150,0.5,0.0234,0.05,iid,1.0,50,3,8.500838753391522,0.1769868524798325,2.2384473173958916,0.0,2.6384510483060564,2.6394051694869995,2.5,1.0,0.0
dp-fedavg,label_flip,mnist,42,500,150,0.5,0.0234,0.05,iid,1.0,50,4,8.987649058831554,0.18621399553758758,2.226397210529872,0.0,2.6392894302095686,2.639845774968465,2.5,1.0,0.0
dp-fedavg,label_flip,mnist,42,500,150,0.5,0.0234,0.05,iid,1.0,50,5,9.474459364271587,0.19623542428016663,2.2117700263432094,0.0,2.639204250744411,2.6398581647872925,2.5,1.0,0.0
dp-fedavg,label_flip,mnist,42,500,150,0.5,0.0234,0.05,iid,1.0,50,6,9.961269669711617,0.20577513773526465,2.1969780336107525,0.0,2.639292736053467,2.638851037025452,2.5,1.0,0.0
dp-fedavg,label_flip,mnist,42,500,150,0.5,0.0234,0.05,iid,1.0,50,7,10.44807997515165,0.21620599455067088,2.1812876081466674,0.0,2.6402167327063424,2.639076501528422,2.5,1.0,0.0
dp-fedavg,label_flip,mnist,42,500,150,0.5,0.0234,0.05,iid,1.0,50,8,10.934890280591683,0.22494628052626336,2.1657650368554253,0.0,2.6389471319743567,2.6402912187576293,2.5,1.0,0.0
dp-fedavg,label_flip,mnist,42,500,150,0.5,0.0234,0.05,iid,1.0,50,9,11.384102372721015,0.23137742268187658,2.152587436607906,0.0,2.63910797391619,2.6399651177724204,2.0,1.0,0.0
