algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall
dp-fedavg,sign_flip,mnist,42,500,150,0.5,0.0234,0.05,iid,1.0,50,0,6.340948878747915,0.14715399669749396,2.278721068246024,0.0,2.6391713755471367,2.6397045262654624,3.0,1.0,0.0
dp-fedavg,sign_flip,mnist,42,500,150,0.5,0.0234,0.05,iid,1.0,50,1,7.527218142511456,0.15847113888178552,2.264958233152117,0.0,2.6387491369247438,2.638848484357198,2.5,1.0,0.0
dp-fedavg,sign_flip,mnist,42,500,150,0.5,0.0234,0.05,iid,1.0,50,2,8.014028447951489,0.16970170974731447,2.250233778953552,0.0,2.6392232942581177,2.6401558939615883,2.5,1.0,0.0
dp-fedavg,sign_flip,mnist,42,500,150,0.5,0.0234,0.05,iid,1.0,50,3,8.500838753391522,0.179155709700925,2.235715492112296,0.0,2.638451113700867,2.6394119834899903,2.5,1.0,0.0
dp-fedavg,sign_flip,mnist,42,500,150,0.5,0.0234,0.05,iid,1.0,50,4,8.987649058831554,0.18881399552736963,2.2229033490589685,0.0,2.6392894445146835,2.6398444588979086,2.5,1.0,0.0
dp-fedavg,sign_flip,mnist,42,500,150,0.5,0.0234,0.05,iid,1.0,50,5,9.474459364271587,0.19919513817344392,2.2076632738113404,0.0,2.639204319545201,2.6398805395762124,2.5,1.0,0.0
dp-fedavg,sign_flip,mnist,42,500,150,0.5,0.0234,0.05,iid,1.0,50,6,9.961269669711617,0.20906542326722827,2.1922676849365232,0.0,2.639292688369751,2.6388620948791504,2.5,1.0,0.0
dp-fedavg,sign_flip,mnist,42,500,150,0.5,0.0234,0.05,iid,1.0,50,7,10.44807997515165,0.21972285170640266,2.176047583307539,0.0,2.6402166863850183,2.6390875514348346,2.5,1.0,0.0
dp-fedavg,sign_flip,mnist,42,500,150,0.5,0.0234,0.05,iid,1.0,50,8,10.934890280591683,0.22870228028723172,2.1598061077935355,0.0,2.638947101320539,2.640298326810201,2.5,1.0,0.0
dp-fedavg,sign_flip,mnist,42,500,150,0.5,0.0234,0.05,iid,1.0,50,9,11.384102372721015,0.23545599413769586,2.1457998660632542,0.0,2.6391080379486085,2.639952677090963,2.0,1.0,0.0
dp-fedavg,sign_flip,mnist,42,500,150,0.5,0.0234,0.05,iid,1.0,50,10,11.509849499608084,0.2427891369802611,2.131266974721636,0.0,2.6387063598632814,2.6381294775009154,2.0,1.0,0.0
dp-fedavg,sign_flip,mnist,42,500,150,0.5,0.0234,0.05,iid,1.0,50,11,11.63559662649515,0.2517794221639633,2.1155217889377047,0.0,2.6390237774167744,2.639850525856018,2.0,1.0,0.0
dp-fedavg,sign_flip,mnist,42,500,150,0.5,0.0234,0.05,iid,1.0,50,12,11.761343753382219,0.26122799324137824,2.0969365838595797,0.0,2.6389996119907924,2.639701617558797,2.0,1.0,0.0
dp-fedavg,sign_flip,mnist,42,500,150,0.5,0.0234,0.05,iid,1.0,50,13,11.887090880269287,0.2696354219317436,2.0798752345357623,0.0,2.639021317618234,2.6396038500467935,2.0,1.0,0.0
dp-fedavg,sign_flip,mnist,42,500,150,0.5,0.0234,0.05,iid,1.0,50,14,12.012838007156354,0.27736342153378896,2.062671826907567,0.0,2.639029279436384,2.6394744141896567,2.0,1.0,0.0
dp-fedavg,sign_flip,mnist,42,500,150,0.5,0.0234,0.05,iid,1.0,50,15,12.138585134043423,0.2853648499931608,2.046336050374167,0.0,2.6396621915272305,2.638901875813802,2.0,1.0,0.0
dp-fedavg,sign_flip,mnist,42,500,150,0.5,0.0234,0.05,iid,1.0,50,16,12.26433226093049,0.29500656383378165,2.026866703033447,0.0,2.6391847106388635,2.6378212372461953,2.0,1.0,0.0
dp-fedavg,sign_flip,mnist,42,500,150,0.5,0.0234,0.05,iid,1.0,50,17,12.390079387817558,0.3020288490823337,2.0100956514903476,0.0,2.6388622106824604,2.640949250857035,2.0,1.0,0.0
dp-fedavg,sign_flip,mnist,42,500,150,0.5,0.0234,0.05,iid,1.0,50,18,12.515826514704624,0.3093371347870146,1.9932371629987444,0.0,2.6395230722427367,2.638934195836385,2.0,1.0,0.0
dp-fedavg,sign_flip,mnist,42,500,150,0.5,0.0234,0.05,iid,1.0,50,19,12.641573641591693,0.31649770625999996,1.976376896585737,0.0,2.639624332019261,2.6387622292836506,2.0,1.0,0.0
dp-fedavg,sign_flip,mnist,42,500,150,0.5,0.0234,0.05,iid,1.0,50,20,12.76732076847876,0.32437570580414365,1.960183151108878,0.0,2.639740936415536,2.6398332929611206,2.0,1.0,0.0
dp-fedavg,sign_flip,mnist,42,500,150,0.5,0.0234,0.05,iid,1.0,50,21,12.893067895365828,0.3320354202815465,1.9420180620465959,0.0,2.6393958854675295,2.639067325592041,2.0,1.0,0.0
dp-fedavg,sign_flip,mnist,42,500,150,0.5,0.0234,0.05,iid,1.0,50,22,13.018815022252895,0.33947770548718315,1.922524198123387,0.0,2.640330391611372,2.638892804781596,2.0,1.0,0.0
dp-fedavg,sign_flip,mnist,42,500,150,0.5,0.0234,0.05,iid,1.0,50,23,13.144562149139963,0.3453062765938895,1.9052209227425712,0.0,2.63928599357605,2.63924924214681,2.0,1.0,0.0
dp-fedavg,sign_flip,mnist,42,500,150,0.5,0.0234,0.05,iid,1.0,50,24,13.27030927602703,0.352656848856381,1.8866044524737766,0.0,2.6385262094225204,2.6398454093933106,2.0,1.0,0.0
dp-fedavg,sign_flip,mnist,42,500,150,0.5,0.0234,0.05,iid,1.0,50,25,13.396056402914098,0.35946113403354374,1.8692476323672704,0.0,2.639650582586016,2.6390102163950604,2.0,1.0,0.0
dp-fedavg,sign_flip,mnist,42,500,150,0.5,0.0234,0.05,iid,1.0,50,26,13.521803529801165,0.3646854197978973,1.8536530324390956,0.0,2.639618216923305,2.639615831375122,2.0,1.0,0.0
dp-fedavg,sign_flip,mnist,42,500,150,0.5,0.0234,0.05,iid,1.0,50,27,13.647550656688233,0.37289741950375693,1.834402163028717,0.0,2.638429410798209,2.63923655351003,2.0,1.0,0.0
dp-fedavg,sign_flip,mnist,42,500,150,0.5,0.0234,0.05,iid,1.0,50,28,13.7732977835753,0.3789765616825649,1.818196165221078,0.0,2.6397489602225166,2.639146367708842,2.0,1.0,0.0
dp-fedavg,sign_flip,mnist,42,500,150,0.5,0.0234,0.05,iid,1.0,50,29,13.899044910462369,0.3860099902323314,1.8009205109732491,0.0,2.639785553387233,2.6391258589426676,2.0,1.0,0.0
dp-fedavg,sign_flip,mnist,42,500,150,0.5,0.0234,0.05,iid,1.0,50,30,14.024792037349435,0.39283027606351034,1.7817383398328508,0.0,2.6393216936928887,2.639054595629374,2.0,1.0,0.0
dp-fedavg,sign_flip,mnist,42,500,150,0.5,0.0234,0.05,iid,1.0,50,31,14.150539164236504,0.3984222763351032,1.7659016278811863,0.0,2.6399356228964668,2.639945208231608,2.0,1.0,0.0
dp-fedavg,sign_flip,mnist,42,500,150,0.5,0.0234,0.05,iid,1.0,50,32,14.27628629112357,0.40350684659821645,1.7512067713056292,0.0,2.63955664907183,2.63984516620636,2.0,1.0,0.0
dp-fedavg,sign_flip,mnist,42,500,150,0.5,0.0234,0.05,iid,1.0,50,33,14.402033418010639,0.4102402749657631,1.7340327637536186,0.0,2.6394515909467424,2.638962383270264,2.0,1.0,0.0
dp-fedavg,sign_flip,mnist,42,500,150,0.5,0.0234,0.05,iid,1.0,50,34,14.527780544897707,0.41656570306846075,1.717237708227975,0.0,2.6396937683650425,2.638819456100464,2.0,1.0,0.0
dp-fedavg,sign_flip,mnist,42,500,150,0.5,0.0234,0.05,iid,1.0,50,35,14.653527671784774,0.4218999892473221,1.7025578808784485,0.0,2.639341741289411,2.6399612124760945,2.0,1.0,0.0
dp-fedavg,sign_flip,mnist,42,500,150,0.5,0.0234,0.05,iid,1.0,50,36,14.77927479867184,0.42815913251468113,1.6854054389681135,0.0,2.6394405685152327,2.63878875096639,2.0,1.0,0.0
dp-fedavg,sign_flip,mnist,42,500,150,0.5,0.0234,0.05,iid,1.0,50,37,14.90502192555891,0.4326025607756206,1.671943187373025,0.0,2.6398544951847622,2.639448256492615,2.0,1.0,0.0
dp-fedavg,sign_flip,mnist,42,500,150,0.5,0.0234,0.05,iid,1.0,50,38,15.030769052445978,0.4380351311819894,1.6569364030020577,0.0,2.639226404598781,2.6397054243087767,2.0,1.0,0.0
dp-fedavg,sign_flip,mnist,42,500,150,0.5,0.0234,0.05,iid,1.0,50,39,15.156516179333044,0.4445585605076381,1.6394248958996365,0.0,2.6392344304493496,2.6397347275416054,2.0,1.0,0.0
dp-fedavg,sign_flip,mnist,42,500,150,0.5,0.0234,0.05,iid,1.0,50,40,15.282263306220111,0.4507914166791098,1.622439113344465,0.0,2.639407994406564,2.6381440941492715,2.0,1.0,0.0
dp-fedavg,sign_flip,mnist,42,500,150,0.5,0.0234,0.05,iid,1.0,50,41,15.408010433107181,0.45614770233631136,1.6078146607535226,0.0,2.6391954742159163,2.638645068804423,2.0,1.0,0.0
dp-fedavg,sign_flip,mnist,42,500,150,0.5,0.0234,0.05,iid,1.0,50,42,15.533757559994248,0.46338684584413253,1.5897578488077435,0.0,2.6394716153826034,2.6398773050308226,2.0,1.0,0.0
dp-fedavg,sign_flip,mnist,42,500,150,0.5,0.0234,0.05,iid,1.0,50,43,15.659504686881315,0.4669282730136599,1.5782630389077323,0.0,2.6398000982829504,2.6394421243667603,2.0,1.0,0.0
dp-fedavg,sign_flip,mnist,42,500,150,0.5,0.0234,0.05,iid,1.0,50,44,15.785251813768381,0.4711094163145338,1.5654399279185705,0.0,2.638777219227382,2.638973143895467,2.0,1.0,0.0
dp-fedavg,sign_flip,mnist,42,500,150,0.5,0.0234,0.05,iid,1.0,50,45,15.910998940655448,0.4761151304415294,1.5511455174854825,0.0,2.639664707183838,2.6398503303527834,2.0,1.0,0.0
dp-fedavg,sign_flip,mnist,42,500,150,0.5,0.0234,0.05,iid,1.0,50,46,16.03674606754252,0.48218713053635187,1.5345634521756852,0.0,2.63914906842368,2.640034720102946,2.0,1.0,0.0
