algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall
dp-fedavg,scale,mnist,42,300,0,0.86,0.1,0.1,iid,1.0,99999,0,2.843341254002619,0.10361533091713984,3.0734773484865823,0.0,13.72108723004659,0.0,5.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,0.86,0.1,0.1,iid,1.0,99999,1,3.4325627312423173,0.11246866397559643,3.684518638451894,0.0,13.725297374725342,0.0,4.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,0.86,0.1,0.1,iid,1.0,99999,2,3.6049132824476438,0.11745233004291852,4.348070154190063,0.0,13.711871744791667,0.0,4.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,0.86,0.1,0.1,iid,1.0,99999,3,3.7772638336529694,0.12163866383334,4.9659741481145225,0.0,13.713958107630411,0.0,4.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,0.86,0.1,0.1,iid,1.0,99999,4,3.949614384858296,0.1257366633663575,5.593683682282766,0.0,13.720762004852295,0.0,4.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,0.86,0.1,0.1,iid,1.0,99999,5,4.121964936063622,0.1292646632840236,6.265374583403269,0.0,13.719972607294718,0.0,4.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,0.86,0.1,0.1,iid,1.0,99999,6,4.294315487268949,0.12991233027229707,6.856003031730652,0.0,13.717237717310587,0.0,4.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,0.86,0.1,0.1,iid,1.0,99999,7,4.4666660384742745,0.13199499705185494,7.3971300172805785,0.0,13.720085493723552,0.0,4.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,0.86,0.1,0.1,iid,1.0,99999,8,4.6390165896796,0.13664532988021771,7.905314447085063,0.0,13.720931297938028,0.0,4.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,0.86,0.1,0.1,iid,1.0,99999,9,4.811367140884927,0.13868333014349143,8.3750883324941,0.0,13.711648009618123,0.0,4.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,0.86,0.1,0.1,iid,1.0,99999,10,4.983717692090253,0.14421066316465536,8.770328415234884,0.0,13.72212334950765,0.0,4.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,0.86,0.1,0.1,iid,1.0,99999,11,5.156068243295579,0.1464546635001898,9.11298830986023,0.0,13.714104216893514,0.0,4.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,0.86,0.1,0.1,iid,1.0,99999,12,5.328418794500904,0.14805899646133183,9.687465232213338,0.0,13.712149524688721,0.0,4.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,0.86,0.1,0.1,iid,1.0,99999,13,5.500769345706231,0.1517346631983916,10.10140920162201,0.0,13.720049543380737,0.0,4.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,0.86,0.1,0.1,iid,1.0,99999,14,5.673119896911557,0.15370032946268716,10.584596756299337,0.0,13.721287027994792,0.0,4.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,0.86,0.1,0.1,iid,1.0,99999,15,5.8085807736108395,0.15497866282860437,11.034085748990377,0.0,13.717024084726969,0.0,3.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,0.86,0.1,0.1,iid,1.0,99999,16,5.871511354458836,0.15541632977624734,11.511793446540832,0.0,13.723840792973837,0.0,3.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,0.86,0.1,0.1,iid,1.0,99999,17,5.9344419353068325,0.15908599597712358,11.90892892519633,0.0,13.721337080001831,0.0,3.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,0.86,0.1,0.1,iid,1.0,99999,18,5.997372516154829,0.16087466262280942,12.30850783665975,0.0,13.715088965098063,0.0,3.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,0.86,0.1,0.1,iid,1.0,99999,19,6.0603030970028255,0.16147999592125417,12.673675961494446,0.0,13.718167718251546,0.0,3.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,0.86,0.1,0.1,iid,1.0,99999,20,6.1232336778508225,0.1637313293417295,13.105120836893718,0.0,13.717824618021647,0.0,3.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,0.86,0.1,0.1,iid,1.0,99999,21,6.186164258698819,0.16750799564023813,13.562004200617473,0.0,13.718310562769572,0.0,3.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,0.86,0.1,0.1,iid,1.0,99999,22,6.249094839546815,0.16820432901382446,13.828430051803588,0.0,13.721296218236288,0.0,3.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,0.86,0.1,0.1,iid,1.0,99999,23,6.312025420394812,0.16835232896109423,14.294102220535278,0.0,13.716401824951172,0.0,3.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,0.86,0.1,0.1,iid,1.0,99999,24,6.374956001242809,0.1695369956890742,14.614234348932902,0.0,13.723403367996216,0.0,3.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,0.86,0.1,0.1,iid,1.0,99999,25,6.437886582090805,0.17198099538683892,14.9512157980601,0.0,13.724629599253337,0.0,3.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,0.86,0.1,0.1,iid,1.0,99999,26,6.500817162938801,0.17495532862842084,15.245388123194376,0.0,13.72628428777059,0.0,3.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,0.86,0.1,0.1,iid,1.0,99999,27,6.563747743786798,0.1775883285701275,15.473049615224202,0.0,13.71743587176005,0.0,3.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,0.86,0.1,0.1,iid,1.0,99999,28,6.626678324634795,0.1794753291954597,15.792486791610719,0.0,13.714085353215536,0.0,3.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,0.86,0.1,0.1,iid,1.0,99999,29,6.689608905482791,0.1837933287024498,16.01501514116923,0.0,13.72464822769165,0.0,3.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,0.86,0.1,0.1,iid,1.0,99999,30,6.752539486330787,0.18505399525165558,16.290618708928427,0.0,13.716772629419962,0.0,3.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,0.86,0.1,0.1,iid,1.0,99999,31,6.815470067178784,0.1859889951099952,16.66947237332662,0.0,13.720705633163453,0.0,3.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,0.86,0.1,0.1,iid,1.0,99999,32,6.878400648026781,0.1884809955706199,16.942542362213135,0.0,13.716562894185385,0.0,3.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,0.86,0.1,0.1,iid,1.0,99999,33,6.941331228874777,0.18941566228866577,17.265569152832033,0.0,13.712747208277385,0.0,3.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,0.86,0.1,0.1,iid,1.0,99999,34,7.004261809722773,0.19010366197675466,17.495013389587402,0.0,13.719075765609741,0.0,3.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,0.86,0.1,0.1,iid,1.0,99999,35,7.06719239057077,0.1922086616853873,17.808018732070924,0.0,13.71460841178894,0.0,3.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,0.86,0.1,0.1,iid,1.0,99999,36,7.130122971418767,0.19512399524450302,18.075610450108847,0.0,13.721531378428141,0.0,3.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,0.86,0.1,0.1,iid,1.0,99999,37,7.193053552266763,0.1961949949711561,18.408675486246747,0.0,13.71593142827352,0.0,3.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,0.86,0.1,0.1,iid,1.0,99999,38,7.255984133114759,0.19753266195456187,18.69382301648458,0.0,13.716058702468873,0.0,3.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,0.86,0.1,0.1,iid,1.0,99999,39,7.318914713962756,0.19776066191494465,18.97767426172892,0.0,13.722916580835978,0.0,3.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,0.86,0.1,0.1,iid,1.0,99999,40,7.381845294810753,0.1986436615139246,19.36625543276469,0.0,13.718702796300253,0.0,3.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,0.86,0.1,0.1,iid,1.0,99999,41,7.444775875658749,0.20136899473766487,19.563893146514893,0.0,13.716028207143149,0.0,3.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,0.86,0.1,0.1,iid,1.0,99999,42,7.507706456506745,0.20223666196068127,19.967162958780925,0.0,13.72005779584249,0.0,3.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,0.86,0.1,0.1,iid,1.0,99999,43,7.570637037354742,0.20545032784342765,20.05700655937195,0.0,13.720353593826294,0.0,3.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,0.86,0.1,0.1,iid,1.0,99999,44,7.633567618202739,0.2068879949549834,20.185780928929645,0.0,13.714632422129313,0.0,3.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,0.86,0.1,0.1,iid,1.0,99999,45,7.696498199050736,0.20805666166047254,20.408427178064983,0.0,13.717525466283162,0.0,3.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,0.86,0.1,0.1,iid,1.0,99999,46,7.759428779898731,0.2091866610944271,20.67940247853597,0.0,13.719392274220784,0.0,3.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,0.86,0.1,0.1,iid,1.0,99999,47,7.822359360746728,0.21083399484554927,20.835945755640665,0.0,13.714597495396932,0.0,3.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,0.86,0.1,0.1,iid,1.0,99999,48,7.885289941594725,0.21277632802724838,21.189081891377768,0.0,13.722003453572592,0.0,3.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,0.86,0.1,0.1,iid,1.0,99999,49,7.94822052244272,0.21366432803372543,21.475409622192384,0.0,13.716988900502523,0.0,3.0,1.0,0.0
