algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,krum_score_honest,krum_score_attacker
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,0,0.0,0.25884079417586325,2.105361470222473,0.0,0.18988900277018547,0.0,,0.0,0.0,0.02813337295083329,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,1,0.0,0.522210386455059,1.8763220806121825,0.0,0.1883927666246891,0.0,,0.0,0.0,0.030781134497374296,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,2,0.0,0.661551382303238,1.6496832585334777,0.0,0.1877334921658039,0.0,,0.0,0.0,0.035252910314334765,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,3,0.0,0.7182637805938721,1.4422215242385865,0.0,0.17994469770789145,0.0,,0.0,0.0,0.03358296524467213,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,4,0.0,0.7482935823202134,1.2665599675178527,0.0,0.16576345646381377,0.0,,0.0,0.0,0.024525694262522917,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,5,0.0,0.7687269797325135,1.1249524118900298,0.0,0.14902569085359574,0.0,,0.0,0.0,0.022227302694227548,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,6,0.0,0.7852453788518906,1.0124123013019561,0.0,0.13319533520936966,0.0,,0.0,0.0,0.018139326267621735,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,7,0.0,0.7990377794504165,0.9229815602302551,0.0,0.1193511797040701,0.0,,0.0,0.0,0.022843595947427995,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,8,0.0,0.8100657788515091,0.8511775822639466,0.0,0.10763254682719707,0.0,,0.0,0.0,0.02253588834970162,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,9,0.0,0.8194397798776627,0.7926714435815811,0.0,0.09782993054389953,0.0,,0.0,0.0,0.016143596869100024,0.0
