algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,eps_n_honest,eps_n_attacker,nsr_honest,nsr_attacker,n_dp_norm_honest,n_dp_norm_attacker,sigma_n_honest,sigma_n_attacker,sigma_dp_honest,sigma_dp_attacker,krum_score_honest,krum_score_attacker,noise_norm_honest,noise_norm_attacker,trust_honest,trust_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,0,1.9666313198880265,0.2568743939101696,2.1068454513549804,0.0,3.1889635622501373,0.0,1000.0,0.0,0.0,0.06293220223641685,0.0,1674.1913323024403,0.0,318.8961925506592,0.0,2.0,0.0,2.0,0.0,125.93715143203735,0.0,318.8961925506592,0.0,1.0,0.0,0.06293220223641685,0.3461271123002926,1.0,2.0,10.204678161621093,53.57412263367809
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,1,2.0284568301210077,0.5102419863939285,1.8814920649528504,0.0,3.3104979594548545,0.0,1000.0,0.0,0.0,0.1505076408224216,0.0,1689.6439153110596,0.0,320.38646189371747,0.0,2.0089978441246332,0.0,2.0089978441246332,0.0,157.76831340789795,0.0,320.38646189371747,0.0,0.9854056959350904,0.0,0.1505076408224216,0.5248069122470733,0.9854056959350904,2.0089978441246332,15.378550170898437,81.10290793493085
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,2,2.110841611955624,0.6470807832479477,1.658162433385849,0.0,3.2876915401882596,0.0,1000.0,0.0,0.0,0.25490396207643307,0.0,1668.206831078252,0.0,314.4931787561487,0.0,1.9704014161404597,0.0,1.9704014161404597,0.0,176.29727766248914,0.0,314.4931787561487,0.0,0.9948969174314428,0.0,0.25490396207643307,0.6653631214953439,0.9948969174314428,1.9704014161404597,16.98263165283203,90.08316887822559
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,3,2.110841611955624,0.7046937819123268,1.4527213649749755,0.0,3.2503202727862766,0.0,1000.0,0.0,0.0,0.36062530804194737,0.0,1729.2562113190277,0.0,312.7501667567662,0.0,1.9579975740461804,0.0,1.9579975740461804,0.0,193.79694039481026,0.0,312.7501667567662,0.0,0.991186261177063,0.0,0.36062530804194737,0.7698021395881154,0.991186261177063,1.9579975740461804,17.514009338378905,96.83834783386554
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,4,2.167300450050503,0.7370655825734138,1.2771622395515443,0.0,3.1486579913359423,0.0,1000.0,0.0,0.0,0.46330969857796245,0.0,1849.692826583795,0.0,307.1060262826773,0.0,1.927953695237918,0.0,1.927953695237918,0.0,155.59561509352463,0.0,307.1060262826773,0.0,0.9966825109261733,0.0,0.46330969857796245,0.847878285627471,0.9966825109261733,1.927953695237918,15.96951336669922,96.18402698235735
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,5,2.2278923381842373,0.7576057802438736,1.1380859189033508,0.0,3.8251356959342955,0.0,1000.0,0.0,0.0,0.5229911488074656,0.0,2048.216919960033,0.0,312.83370208740234,0.0,1.9604047236276034,0.0,1.9604047236276034,0.0,174.81379041671752,0.0,312.83370208740234,0.0,0.9695415884256363,0.0,0.5229911488074656,0.8872805537101938,0.9695415884256363,1.9604047236276034,12.513348083496094,81.92867679840131
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,6,2.253348002413622,0.7750103794336319,1.02523901450634,0.0,3.592929731715809,0.0,1000.0,0.0,0.0,0.5957648418500837,0.0,2302.966688033202,0.0,308.8741025057706,0.0,1.9348440484059588,0.0,1.9348440484059588,0.0,152.4198892766779,0.0,308.8741025057706,0.0,0.9727559387683868,0.0,0.5957648418500837,0.9282298772723958,0.9727559387683868,1.9348440484059588,13.590460510253907,101.33053427346087
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,7,2.273429831787071,0.7879661794900894,0.9375360037088394,0.0,3.454160369675735,0.0,1000.0,0.0,0.0,0.6909867943688294,0.0,2537.893278309089,0.0,308.1755991968615,0.0,1.9316578360450722,0.0,1.9316578360450722,0.0,200.49731497929014,0.0,308.1755991968615,0.0,0.9641405837289219,0.0,0.6909867943688294,0.9721631647441017,0.9641405837289219,1.9316578360450722,17.874184753417968,147.19781014192716
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,8,2.330074338367393,0.7976585799455642,0.8684885892868042,0.0,3.812560426777807,0.0,1000.0,0.0,0.0,0.7628798785679292,0.0,2833.8446703319883,0.0,318.9840761382004,0.0,2.0009638658861766,0.0,2.0009638658861766,0.0,240.01208627635035,0.0,318.9840761382004,0.0,0.9161908606003071,0.0,0.7628798785679292,1.0009029217451622,0.9161908606003071,2.0009638658861766,18.501076416015625,164.36299087925534
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,9,2.3661363551144734,0.8069123797416687,0.8102641806602479,0.0,3.7450612915886774,0.0,1000.0,0.0,0.0,0.8309376370025957,0.0,3197.2718908850925,0.0,319.219399911386,0.0,1.999740531361266,0.0,1.999740531361266,0.0,189.40336439344617,0.0,319.219399911386,0.0,0.905967668250755,0.0,0.8309376370025957,1.0233459554140933,0.905967668250755,1.999740531361266,17.237847595214845,172.652682107795
