algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,trust_honest,trust_attacker,n_dp_norm_honest,n_dp_norm_attacker,sigma_n_honest,sigma_n_attacker,nsr_honest,nsr_attacker,sigma_dp_honest,sigma_dp_attacker,noise_norm_honest,noise_norm_attacker,eps_n_honest,eps_n_attacker,krum_score_honest,krum_score_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,0,0.41181311989915914,0.25678279393911363,2.110154305934906,0.0,4.783444374799728,0.0,1000.0,0.0,0.0,1.0,0.0,478.3442859649658,0.0,3.0,0.0,2511.2869832331894,0.0,3.0,0.0,478.3442859649658,0.0,0.013178019836773093,0.0,283.3585605621338,0.0,0.013178019836773093,0.07247910910225201,1.0,3.0,15.307017150878906,80.36118346346205
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,1,0.4194158232829189,0.5028251868486404,1.8907717170715332,0.0,4.849953631560008,0.0,1000.0,0.0,0.0,0.9726512680451075,0.0,486.6278254191081,0.0,3.0513793238230793,0.0,2536.3638719722417,0.0,3.0513793238230793,0.0,486.6278254191081,0.0,0.031380412227936215,0.0,348.9292469024658,0.0,0.031380412227936215,0.10941865290389031,0.9726512680451075,3.0513793238230793,23.35813562011719,121.74546585466759
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,2,0.4281538035287505,0.6295365831255912,1.6724246044158935,0.0,4.900743307890715,0.0,1000.0,0.0,0.0,0.9925147670286673,0.0,472.86275679976853,0.0,2.962607066203942,0.0,2488.1365614526126,0.0,2.962607066203942,0.0,472.86275679976853,0.0,0.05296637384491953,0.0,396.6688820167824,0.0,0.05296637384491953,0.1382486857301261,0.9925147670286673,2.962607066203942,25.5345888671875,134.3593743184411
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,3,0.4281538035287505,0.6858941823840141,1.469600825548172,0.0,4.765007717268808,0.0,1000.0,0.0,0.0,0.9787599316665104,0.0,474.8912331717355,0.0,2.973173588985025,0.0,2591.2027242171857,0.0,2.973173588985025,0.0,474.8912331717355,0.0,0.0747047352120313,0.0,432.03787885393416,0.0,0.0747047352120313,0.15945227248504587,0.9787599316665104,2.973173588985025,26.59390905761719,145.1073525561624
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,4,0.4281538035287505,0.7183747829794884,1.2963852438926697,0.0,4.664771208396325,0.0,1000.0,0.0,0.0,0.9900595912566552,0.0,463.71094923753003,0.0,2.911020236681359,0.0,2783.2289741021877,0.0,2.911020236681359,0.0,463.71094923753003,0.0,0.09580242159537576,0.0,350.0901066706731,0.0,0.09580242159537576,0.175299649014714,0.9900595912566552,2.911020236681359,24.112969360351563,144.7279066533138
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,5,0.432523620364116,0.7411543801426888,1.1604381277561189,0.0,5.429651284217835,0.0,1000.0,0.0,0.0,0.936273580789566,0.0,484.40557556152345,0.0,3.035543608715239,0.0,3061.9612027344874,0.0,3.035543608715239,0.0,484.40557556152345,0.0,0.10790738715792526,0.0,368.5671171188354,0.0,0.10790738715792526,0.18301838721770833,0.936273580789566,3.035543608715239,19.376223022460938,122.47844810937947
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,6,0.4384864318387316,0.7580561805963516,1.0488436121940612,0.0,5.167467789216475,0.0,1000.0,0.0,0.0,0.9498665414073251,0.0,473.616660378196,0.0,2.966935340498233,0.0,3471.1336811614715,0.0,2.966935340498233,0.0,473.616660378196,0.0,0.12291299702357757,0.0,328.67375113747335,0.0,0.12291299702357757,0.19144613649599437,0.9498665414073251,2.966935340498233,20.839133056640627,152.72988197110476
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,7,0.4536582032188883,0.769938179910183,0.9640561094284058,0.0,4.954118531325768,0.0,1000.0,0.0,0.0,0.9380082858019861,0.0,473.91930836644667,0.0,2.9705835333286577,0.0,3777.6014962711924,0.0,2.9705835333286577,0.0,473.91930836644667,0.0,0.1430042521693483,0.0,429.517980115167,0.0,0.1430042521693483,0.20118768445550564,0.9380082858019861,2.9705835333286577,27.487319885253907,219.10088678372915
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,8,0.47450420238847724,0.7802313796281815,0.8974951508045197,0.0,5.298420560771022,0.0,1000.0,0.0,0.0,0.8693038697900444,0.0,499.18107131431844,0.0,3.131292241778767,0.0,4172.775707338229,0.0,3.131292241778767,0.0,499.18107131431844,0.0,0.15842462141622185,0.0,486.2772374646417,0.0,0.15842462141622185,0.20794001121401576,0.8693038697900444,3.131292241778767,28.952502136230468,242.02099102561726
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,9,0.5008935708804977,0.7898365790843964,0.8404263750314712,0.0,5.297373806988752,0.0,1000.0,0.0,0.0,0.872066734013734,0.0,493.68604758933736,0.0,3.0925601600690267,0.0,4793.981531771917,0.0,3.0925601600690267,0.0,493.68604758933736,0.0,0.17367589584501156,0.0,394.8771475332755,0.0,0.17367589584501156,0.21422586736506283,0.872066734013734,3.0925601600690267,26.65904656982422,258.87500271568354
