algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,noise_norm_honest,noise_norm_attacker,nsr_honest,nsr_attacker,sigma_dp_honest,sigma_dp_attacker,eps_n_honest,eps_n_attacker,trust_honest,trust_attacker,n_dp_norm_honest,n_dp_norm_attacker,krum_score_honest,krum_score_attacker,sigma_n_honest,sigma_n_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,0,2.410703046206268,0.2582457939386368,2.105849220275879,0.0,1.5944838300347328,0.0,1000.0,0.0,0.0,159.44816875457764,0.0,837.0960189318548,0.0,1.0,0.0,0.07714249747860058,0.0,1.0,0.0,159.4480962753296,0.0,31.48426330089569,0.0,1.0,0.0,0.07714249747860058,0.42428373613230314,1.0,1.0,5.102339080810546,26.787072605819354
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,1,2.4762606086077086,0.5154673863053322,1.8786177015304566,0.0,1.643293137351672,0.0,1000.0,0.0,0.0,157.38312085469565,0.0,832.7092260480055,0.0,0.9868787080084217,0.0,0.1862752552078219,0.0,0.9884328047434489,0.0,157.38313802083334,0.0,38.440108935038246,0.0,0.9868787080084217,0.0,0.1862752552078219,0.6495645638619357,0.9884328047434489,0.9868787080084217,7.554390625,39.97004285030427
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,2,2.5682627682600003,0.6542699825763703,1.6533621006011963,0.0,1.6082329440999914,0.0,1000.0,0.0,0.0,152.27598232693143,0.0,810.0698952941284,0.0,0.9540673202072701,0.0,0.3200383581124297,0.0,0.9969763181827687,0.0,152.27603997124567,0.0,41.50416458977593,0.0,0.9540673202072701,0.0,0.3200383581124297,0.8356235702101149,0.9969763181827687,0.9540673202072701,8.222906158447266,43.74377434588293
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,3,2.7494143754948865,0.7117653820514679,1.4465105800628661,0.0,1.5646957201617104,0.0,1000.0,0.0,0.0,148.68880135672433,0.0,826.0369331711927,0.0,0.9308703411093998,0.0,0.4608268415173679,0.0,0.9949138185807637,0.0,148.68881934029716,0.0,44.31690256936209,0.0,0.9308703411093998,0.0,0.4608268415173679,0.9846057171685996,0.9949138185807637,0.9308703411093998,8.326573883056641,46.258068257586785
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,4,3.008028993435376,0.7434319825172424,1.2708772163391113,0.0,1.480908650618333,0.0,1000.0,0.0,0.0,143.7925767164964,0.0,867.5839236660214,0.0,0.9027065834889012,0.0,0.6041585254402224,0.0,0.9978328255506662,0.0,143.7925990178035,0.0,34.18961899097149,0.0,0.9027065834889012,0.0,0.6041585254402224,1.1080026615359317,0.9978328255506662,0.9027065834889012,7.477215148925781,45.11436403063311
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,5,3.252794374900609,0.7639385797977447,1.1298327281475067,0.0,1.8177626967430114,0.0,1000.0,0.0,0.0,142.6248794555664,0.0,949.3927331344552,0.0,0.8937697357081156,0.0,0.6940462905572008,0.0,0.9782538712024689,0.0,142.62466735839843,0.0,38.41595504283905,0.0,0.8937697357081156,0.0,0.6940462905572008,1.182219734684441,0.9782538712024689,0.8937697357081156,5.704986694335937,37.975709325378205
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,6,3.2981727383429145,0.7811925798654556,1.0170938249826431,0.0,1.671287937597795,0.0,1000.0,0.0,0.0,138.64403464577416,0.0,1039.7720019816554,0.0,0.868482568747996,0.0,0.8088730119696446,0.0,0.9768468114462766,0.0,138.6439403187145,0.0,31.880845936861906,0.0,0.868482568747996,0.0,0.8088730119696446,1.2689175621917788,0.9768468114462766,0.868482568747996,6.100333374023437,45.74996808719284
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,7,3.4244533442090974,0.794726179599762,0.9279406524896622,0.0,1.5801747955124954,0.0,1000.0,0.0,0.0,134.6647175755994,0.0,1121.5201578596004,0.0,0.8440738638298367,0.0,0.9607902099096175,0.0,0.97356300107364,0.0,134.66464233398438,0.0,40.91162688156654,0.0,0.8440738638298367,0.0,0.9607902099096175,1.3648866726671187,0.97356300107364,0.8440738638298367,7.810549255371094,65.04816915585684
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,8,3.586998338213694,0.8057365794181823,0.8565952016115188,0.0,1.7757586816261555,0.0,1000.0,0.0,0.0,134.93019182928677,0.0,1230.0969964324156,0.0,0.8464001758583726,0.0,1.0795332079236797,0.0,0.9356575731573433,0.0,134.93010422279096,0.0,49.59255356624209,0.0,0.8464001758583726,0.0,1.0795332079236797,1.4333232427956055,0.9356575731573433,0.8464001758583726,7.825946044921875,71.3456257930801
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,9,3.6937753915033356,0.8148067790269852,0.7982598823308945,0.0,1.7295684593695182,0.0,1000.0,0.0,0.0,132.7778899581344,0.0,1352.0334470293642,0.0,0.8318030446105337,0.0,1.1984109574527488,0.0,0.9178992752675657,0.0,132.77801513671875,0.0,38.27103473522045,0.0,0.8318030446105337,0.0,1.1984109574527488,1.49696705653336,0.9178992752675657,0.8318030446105337,7.170012817382813,73.00980613958566
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,10,4.03885929765523,0.8223425794839859,0.7512599415779114,0.0,1.8015614248091174,0.0,1000.0,0.0,0.0,125.44752797772807,0.0,1374.695298732643,0.0,0.7868404138098225,0.0,1.3590321925500257,0.0,0.9394954712160172,0.0,125.44732739848476,0.0,50.57687937828802,0.0,0.7868404138098225,0.0,1.3590321925500257,1.5782221687774018,0.9394954712160172,0.7868404138098225,7.777734298706054,85.23110852142386
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,11,4.676017388143735,0.8281857793331147,0.7127956418991089,0.0,1.9072311798731485,0.0,1000.0,0.0,0.0,121.76072794596354,0.0,1425.5641524510863,0.0,0.7635888898468597,0.0,1.5037720569033315,0.0,0.9297071774800618,0.0,121.76062367757162,0.0,52.51347745259603,0.0,0.7635888898468597,0.0,1.5037720569033315,1.6552159807187814,0.9297071774800618,0.7635888898468597,7.305637420654297,85.5338491470652
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,12,5.117970377302929,0.8329769806861878,0.6800683845281601,0.0,1.9283204873402913,0.0,1000.0,0.0,0.0,118.52591400146484,0.0,1511.898238193736,0.0,0.7422830114562354,0.0,1.6557880934045028,0.0,0.9149970849355061,0.0,118.52581329345703,0.0,60.839650344848636,0.0,0.7422830114562354,0.0,1.6557880934045028,1.7392261273997611,0.9149970849355061,0.7422830114562354,7.111548797607422,90.71389429162413
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,13,5.169682822624943,0.8380293807983399,0.6516796002388,0.0,1.8588761532748188,0.0,1000.0,0.0,0.0,115.46434218795211,0.0,1575.9491018685007,0.0,0.7236714468589228,0.0,1.7861998975005207,0.0,0.8935582107967801,0.0,115.464520489728,0.0,43.03775398819535,0.0,0.7236714468589228,0.0,1.7861998975005207,1.821310333587074,0.8935582107967801,0.7236714468589228,6.235084106445313,85.10125150089904
