algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,nsr_honest,nsr_attacker,noise_norm_honest,noise_norm_attacker,krum_score_honest,krum_score_attacker,eps_n_honest,eps_n_attacker,trust_honest,trust_attacker,sigma_dp_honest,sigma_dp_attacker,sigma_n_honest,sigma_n_attacker,n_dp_norm_honest,n_dp_norm_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,0,1.1,1.0,0.1,iid,1.0,99999,0,3.029099152131736,0.2565057938694954,2.107197708129883,0.0,1.5946342259645463,0.0,1000.0,0.0,0.0,840.2089115185441,0.0,159.46331901550292,0.0,80.18247718811035,0.0,0.2423279321705389,0.0,1.0,0.0,1.0,0.0,1.0,0.0,159.46342544555665,0.0,0.2423279321705389,0.8217740000544961,1.0,1.0,12.757074035644532,67.21671292148353
noise-game,scale,mnist,42,500,0,1.1,1.0,0.1,iid,1.0,99999,1,3.445477677972028,0.5091865867376327,1.880455504655838,0.0,1.6855679726600648,0.0,1000.0,0.0,0.0,839.8691687411682,0.0,158.2619351196289,0.0,96.21340377807617,0.0,0.525156747335682,0.0,0.9838749623298645,0.0,0.9913253109167764,0.0,0.9913253109167764,0.0,158.26198120117186,0.0,0.525156747335682,1.1693603041976361,0.9838749623298645,0.9913253109167764,15.826198120117187,83.98691687411682
noise-game,scale,mnist,42,500,0,1.1,1.0,0.1,iid,1.0,99999,2,3.6188974622142704,0.6460647833943367,1.6571401379108428,0.0,1.7288408760841076,0.0,1000.0,0.0,0.0,819.2498599427763,0.0,154.81533314631537,0.0,104.181168116056,0.0,0.8216288153791277,0.0,0.9794693852846439,0.0,0.9708539977008674,0.0,0.9708539977008674,0.0,154.81518055842474,0.0,0.8216288153791277,1.4023760609565792,0.9794693852846439,0.9708539977008674,16.100778778076172,85.20198543404874
noise-game,scale,mnist,42,500,0,1.1,1.0,0.1,iid,1.0,99999,3,3.6962630530076863,0.7046705824136734,1.45152099943161,0.0,1.7443391871452332,0.0,1000.0,0.0,0.0,843.7295344392746,0.0,152.30665435791016,0.0,96.29785339355469,0.0,1.094816026692194,0.0,0.9702147281169892,0.0,0.9544293176215536,0.0,0.9544293176215536,0.0,152.30657836914062,0.0,1.094816026692194,1.556356035029176,0.9702147281169892,0.9544293176215536,15.230657836914062,84.37295344392746
noise-game,scale,mnist,42,500,0,1.1,1.0,0.1,iid,1.0,99999,4,3.854725723409273,0.73520158213377,1.2778192842006684,0.0,1.8519025497269213,0.0,1000.0,0.0,0.0,893.021318591093,0.0,149.57809635630827,0.0,114.4307826527378,0.0,1.3880468508866879,0.0,0.9607279896736145,0.0,0.9376324264332326,0.0,0.9376324264332326,0.0,149.5779681289405,0.0,1.3880468508866879,1.6708830061960385,0.9607279896736145,0.9376324264332326,17.05188836669922,101.80443031938458
noise-game,scale,mnist,42,500,0,1.1,1.0,0.1,iid,1.0,99999,5,4.016099753309461,0.7573869800567627,1.1360741577148437,0.0,2.0102307420027885,0.0,1000.0,0.0,0.0,968.5471964852504,0.0,146.54118869179175,0.0,89.35682116056743,0.0,1.5580013290268475,0.0,0.9525525334634279,0.0,0.919057412615938,0.0,0.919057412615938,0.0,146.5411332782946,0.0,1.5580013290268475,1.7236950642741407,0.9525525334634279,0.919057412615938,11.13712612915039,73.60958693287904
noise-game,scale,mnist,42,500,0,1.1,1.0,0.1,iid,1.0,99999,6,4.293910172162857,0.7732789789438248,1.0266252453327178,0.0,2.189232641078056,0.0,1000.0,0.0,0.0,1070.1742516459096,0.0,144.91586595900515,0.0,117.55144776689245,0.0,1.757046837332789,0.0,0.9343609315283755,0.0,0.9083672311702684,0.0,0.9083672311702684,0.0,144.91579031437,0.0,1.757046837332789,1.776464749886134,0.9343609315283755,0.9083672311702684,13.62208428955078,100.59637965471553
noise-game,scale,mnist,42,500,0,1.1,1.0,0.1,iid,1.0,99999,7,4.743137635693759,0.7858027805089951,0.9393216373920441,0.0,2.0905766510046444,0.0,1000.0,0.0,0.0,1156.7832104136698,0.0,139.98242510282077,0.0,123.50376598651593,0.0,2.0071703361867805,0.0,0.9398945868015289,0.0,0.8771676962564062,0.0,0.8771676962564062,0.0,139.98247762826773,0.0,2.0071703361867805,1.8194196717605366,0.9398945868015289,0.8771676962564062,14.558177673339843,120.30545388302166
noise-game,scale,mnist,42,500,0,1.1,1.0,0.1,iid,1.0,99999,8,4.9185756804079235,0.7967021799087525,0.869335751414299,0.0,2.241373807776208,0.0,1000.0,0.0,0.0,1222.4831764769626,0.0,136.90440892238243,0.0,129.87014291800705,0.0,2.222615430791051,0.0,0.9284140479330923,0.0,0.8590726459928564,0.0,0.8590726459928564,0.0,136.90432260550705,0.0,2.222615430791051,1.8593626063751287,0.9284140479330923,0.8590726459928564,13.964240905761718,124.6932840006502
noise-game,scale,mnist,42,500,0,1.1,1.0,0.1,iid,1.0,99999,9,5.344473562150322,0.8057707798480988,0.8119712467193604,0.0,2.1538420459057424,0.0,1000.0,0.0,0.0,1349.0825147637547,0.0,134.47926801316282,0.0,109.56446643585855,0.0,2.445403110935502,0.0,0.9127678997973179,0.0,0.843283910708858,0.0,0.843283910708858,0.0,134.4792014588701,0.0,2.445403110935502,1.8828312568079122,0.9127678997973179,0.843283910708858,12.641044937133788,126.81375638779295
