algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,n_dp_norm_honest,n_dp_norm_attacker,krum_score_honest,krum_score_attacker,sigma_dp_honest,sigma_dp_attacker,nsr_honest,nsr_attacker,eps_n_honest,eps_n_attacker,sigma_n_honest,sigma_n_attacker,noise_norm_honest,noise_norm_attacker,trust_honest,trust_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,0,0.7589081380692136,0.2573869939446449,2.107561827659607,0.0,3.1889635622501373,0.0,1000.0,0.0,0.0,318.8961925506592,0.0,125.93715143203735,0.0,2.0,0.0,1674.1913323024403,0.0,0.024285060418214835,0.0,2.0,0.0,318.8961925506592,0.0,1.0,0.0,0.024285060418214835,0.1335678323001816,1.0,2.0,10.204678161621093,53.57412263367809
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,1,0.7689439289473667,0.5073335867822171,1.88389914727211,0.0,3.2853224078814187,0.0,1000.0,0.0,0.0,321.70312245686847,0.0,156.55596033732095,0.0,2.0172405947866348,0.0,1692.787399770173,0.0,0.05788126770708815,0.0,2.0172405947866348,0.0,321.70312245686847,0.0,0.9812429000933965,0.0,0.05788126770708815,0.2018225054942815,0.9812429000933965,2.0172405947866348,15.441749877929688,81.2537951889683
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,2,0.7795819309654924,0.641070182532072,1.6614920568466187,0.0,3.2812645700242786,0.0,1000.0,0.0,0.0,314.72756505895546,0.0,176.29727766248914,0.0,1.971863471446532,0.0,1666.0248619216727,0.0,0.0978288963216208,0.0,1.971863471446532,0.0,314.72756505895546,0.0,0.9941511220402188,0.0,0.0978288963216208,0.25534496724197,0.9941511220402188,1.971863471446532,16.995288513183592,89.96534254377033
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,3,0.7795819309654924,0.6990293819308281,1.4564830539226532,0.0,3.2292910729135786,0.0,1000.0,0.0,0.0,313.847909109933,0.0,193.26141575404577,0.0,1.9648846292184563,0.0,1728.6960159668704,0.0,0.13816011523208244,0.0,1.9648846292184563,0.0,313.847909109933,0.0,0.9876378625631332,0.0,0.13816011523208244,0.2948967358526133,0.9876378625631332,1.9648846292184563,17.57548291015625,96.80697689414473
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,4,0.7876128464782252,0.7319345832467079,1.281606486082077,0.0,3.1352278727751512,0.0,1000.0,0.0,0.0,307.8100785475511,0.0,155.59561509352463,0.0,1.9323575405737314,0.0,1852.852657153801,0.0,0.17739356258901107,0.0,1.9323575405737314,0.0,307.8100785475511,0.0,0.9943907260894775,0.0,0.17739356258901107,0.324605801956334,0.9943907260894775,1.9323575405737314,16.006124084472656,96.34833817199763
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,5,0.7975514703044693,0.7531115798354149,1.142670342683792,0.0,3.7603840231895447,0.0,1000.0,0.0,0.0,316.00641479492185,0.0,171.3555769920349,0.0,1.980276811073584,0.0,2050.6938880451985,0.0,0.1998746545712101,0.0,1.980276811073584,0.0,316.00641479492185,0.0,0.9590961128473282,0.0,0.1998746545712101,0.3390159695071021,0.9590961128473282,1.980276811073584,12.640256591796875,82.02775552180793
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,6,0.8135661586735768,0.7706839804649352,1.0301646981239319,0.0,3.5470773740248247,0.0,1000.0,0.0,0.0,311.09408291903407,0.0,149.90437108820134,0.0,1.9487697744999428,0.0,2305.4429597103053,0.0,0.22768217336590668,0.0,1.9487697744999428,0.0,311.09408291903407,0.0,0.9653625163165006,0.0,0.22768217336590668,0.3546496231146581,0.9653625163165006,1.9487697744999428,13.6881396484375,101.43949022725344
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,7,0.8349560733733215,0.7833819805383683,0.9428909482955933,0.0,3.4051293751289107,0.0,1000.0,0.0,0.0,310.6904012745824,0.0,197.37645484661235,0.0,1.9474322332354665,0.0,2533.429330715435,0.0,0.26460630903918075,0.0,1.9474322332354665,0.0,310.6904012745824,0.0,0.9556814987083961,0.0,0.26460630903918075,0.3722502305285215,0.9556814987083961,1.9474322332354665,18.020043273925783,146.93890118149523
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,8,0.8797251580072531,0.7939169795513153,0.8737769893407822,0.0,3.7414327243278764,0.0,1000.0,0.0,0.0,322.42642527613145,0.0,233.07523714262862,0.0,2.0226026420673513,0.0,2814.3517474751034,0.0,0.2926049137094985,0.0,2.0226026420673513,0.0,322.42642527613145,0.0,0.9044703574016176,0.0,0.2926049137094985,0.3839556193862835,0.9044703574016176,2.0226026420673513,18.700732666015625,163.23240135355596
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,9,0.8926618989621807,0.8031349796056747,0.8157456692457199,0.0,3.689815644864683,0.0,1000.0,0.0,0.0,321.8535823115596,0.0,185.83231608072916,0.0,2.0162130966850587,0.0,3197.5848607388148,0.0,0.3197071526052663,0.0,2.0162130966850587,0.0,321.8535823115596,0.0,0.8969557395687809,0.0,0.3197071526052663,0.39400993868664735,0.8969557395687809,2.0162130966850587,17.38009344482422,172.66958247989598
