algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,trust_honest,trust_attacker,sigma_n_honest,sigma_n_attacker,nsr_honest,nsr_attacker,sigma_dp_honest,sigma_dp_attacker,krum_score_honest,krum_score_attacker,eps_n_honest,eps_n_attacker,n_dp_norm_honest,n_dp_norm_attacker,noise_norm_honest,noise_norm_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,0,2.410703046206268,0.2582463939785957,2.1058488383293152,0.0,1.5944828018546104,0.0,1000.0,0.0,0.0,1.0,0.0,1.0,0.0,837.0954842006628,0.0,1.0,0.0,31.48423969745636,0.0,0.07714249747860058,0.0,159.4480962753296,0.0,159.44806671142578,0.0,0.07714249747860058,0.42428373613230314,1.0,1.0,5.102339080810546,26.78705549442121
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,1,2.454519884541873,0.5153619863986969,1.8786619794368744,0.0,1.664477750658989,0.0,1000.0,0.0,0.0,0.9884505569934845,0.0,1.0014843578776642,0.0,845.048032462761,0.0,1.0014843578776642,0.0,39.53107476234436,0.0,0.18441856664948472,0.0,159.7123883565267,0.0,159.7123940785726,0.0,0.18441856664948472,0.6430432177879545,0.9884505569934845,1.0014843578776642,7.6661946411132815,40.56230555821252
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,2,2.516967050873821,0.6540459830760956,1.6534827654361726,0.0,1.6528368084518998,0.0,1000.0,0.0,0.0,0.9969830203939367,0.0,0.983155912714012,0.0,834.7734729206495,0.0,0.983155912714012,0.0,44.07417848375108,0.0,0.31258933071547945,0.0,156.918783682364,0.0,156.91871812608508,0.0,0.31258933071547945,0.8159202535481638,0.9969830203939367,0.983155912714012,8.473614318847655,45.077767537715076
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,3,2.5546829740679335,0.7114789818525314,1.4467259261608123,0.0,1.635676724570138,0.0,1000.0,0.0,0.0,0.9947339871100017,0.0,0.9755559122372156,0.0,865.5058595235714,0.0,0.9755559122372156,0.0,48.60297121320452,0.0,0.4426023563762519,0.0,155.82641819545202,0.0,155.82639748709542,0.0,0.4426023563762519,0.9447823960746985,0.9947339871100017,0.9755559122372156,8.726279418945312,48.46832813332
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,4,2.616838969047883,0.7431053823232651,1.2711807796955108,0.0,1.5773595158870404,0.0,1000.0,0.0,0.0,0.997716873884201,0.0,0.9629830426126355,0.0,925.4132897909869,0.0,0.9629830426126355,0.0,38.89894397442158,0.0,0.5692804483332836,0.0,153.39413100022537,0.0,153.39411867581882,0.0,0.5692804483332836,1.041820052637523,0.997716873884201,0.9629830426126355,7.976494812011719,48.121491069131324
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,5,2.6647645462132035,0.7635473798513412,1.1302629990577697,0.0,1.9380516231060028,0.0,1000.0,0.0,0.0,0.9775072425603867,0.0,0.9726251972154314,0.0,1032.027109953465,0.0,0.9726251972154314,0.0,44.363451743125914,0.0,0.6426145943189242,0.0,155.2081268310547,0.0,155.20834732055664,0.0,0.6426145943189242,1.0901894419827345,0.9775072425603867,0.9726251972154314,6.208325073242188,41.281084398138596
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,6,2.725382399088281,0.7808013800382614,1.0175690915584563,0.0,1.8097756071524187,0.0,1000.0,0.0,0.0,0.9765083708546378,0.0,0.9638881167494646,0.0,1153.5428375140743,0.0,0.9638881167494646,0.0,38.22733532298695,0.0,0.7326091019227893,0.0,153.87441184303978,0.0,153.8745450106534,0.0,0.7326091019227893,1.141424737639378,0.9765083708546378,0.9638881167494646,6.77047412109375,50.75588485061926
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,7,2.7908284070671243,0.7940723787546158,0.9287255042791367,0.0,1.7512485117747867,0.0,1000.0,0.0,0.0,0.9725200328333624,0.0,0.9580159714633394,0.0,1271.0905259970605,0.0,0.9580159714633394,0.0,51.11643863546437,0.0,0.8512496613136671,0.0,152.84279132711475,0.0,152.84293812718886,0.0,0.8512496613136671,1.1977857372821508,0.9725200328333624,0.9580159714633394,8.864881896972657,73.7232505078295
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,8,2.9356215022408145,0.8051263794898987,0.857576854467392,0.0,1.9588558303898778,0.0,1000.0,0.0,0.0,0.9333066529241102,0.0,0.984682065267627,0.0,1426.5101415728966,0.0,0.984682065267627,0.0,62.338607393462084,0.0,0.9411318122399623,0.0,156.9741105704472,0.0,156.974173710264,0.0,0.9411318122399623,1.2351558728404588,0.9333066529241102,0.984682065267627,9.104498413085938,82.737588211228
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,9,2.939061933103056,0.8142109788656234,0.7991987241506576,0.0,1.907902095052931,0.0,1000.0,0.0,0.0,0.9159820168106644,0.0,0.9907178402315558,0.0,1606.3800787937842,0.0,0.9907178402315558,0.0,47.95477662263093,0.0,1.0261917253623543,0.0,158.14608425564236,0.0,158.14594127513743,0.0,1.0261917253623543,1.264431196927532,0.9159820168106644,0.9907178402315558,8.539888549804688,86.74452425486432
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,10,3.0194010839800347,0.8216159794330596,0.7523636016845703,0.0,2.021611894330671,0.0,1000.0,0.0,0.0,0.9381784700578258,0.0,0.9607758515678693,0.0,1674.861006500822,0.0,0.9607758515678693,0.0,65.49451791086504,0.0,1.1369731701778618,0.0,153.17762214906753,0.0,153.17784069430442,0.0,1.1369731701778618,1.2965800779191394,0.9381784700578258,0.9607758515678693,9.497012573242188,103.84138240305096
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,11,3.1171442085120873,0.8273513784408569,0.7142269653081894,0.0,2.1605426112810773,0.0,1000.0,0.0,0.0,0.9261521716912587,0.0,0.961989540713016,0.0,1786.732968365593,0.0,0.961989540713016,0.0,70.53517672220866,0.0,1.2284032769572768,0.0,153.3962860107422,0.0,153.39643147786458,0.0,1.2284032769572768,1.3197726656991895,0.9261521716912587,0.961989540713016,9.203777160644531,107.20397810193559
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,12,3.2643205083454316,0.8320371797084808,0.6817629287242889,0.0,2.19397159020106,0.0,1000.0,0.0,0.0,0.9134097774823506,0.0,0.9637190746879469,0.0,1958.9276653617258,0.0,0.9637190746879469,0.0,82.72525227864584,0.0,1.316925440534636,0.0,153.8841974894206,0.0,153.8842981974284,0.0,1.316925440534636,1.3392814751855668,0.9134097774823506,0.9637190746879469,9.233051849365234,117.53565992170354
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,13,3.2643205083454316,0.8370783805251122,0.6534658544063568,0.0,2.160429261348866,0.0,1000.0,0.0,0.0,0.8921433157391019,0.0,0.9728038925642977,0.0,2110.4731164861305,0.0,0.9728038925642977,0.0,62.59144606413665,0.0,1.38383156176272,0.0,155.21463351779514,0.0,155.2143142135055,0.0,1.38383156176272,1.3540097957597037,0.8921433157391019,0.9728038925642977,8.381590209960937,113.96554829025105
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,14,3.2643205083454316,0.8415175784826279,0.6278562690019608,0.0,2.1384786102506848,0.0,1000.0,0.0,0.0,0.9480510618951585,0.0,0.9145204725604726,0.0,2132.325081698188,0.0,0.9145204725604726,0.0,36.49523957570394,0.0,1.4552182093219679,0.0,145.92006089952258,0.0,145.92010582817926,0.0,1.4552182093219679,1.3637049275606457,0.9480510618951585,0.9145204725604726,5.253122192382812,76.76370294113478
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,15,3.2981257433932503,0.8444737784862518,0.6073279609680176,0.0,2.325197572293489,0.0,1000.0,0.0,0.0,0.8960276323816051,0.0,0.9501978225620088,0.0,2276.0178334197044,0.0,0.9501978225620088,0.0,56.638731915017836,0.0,1.5185142357199644,0.0,151.4317680027174,0.0,151.43187680451766,0.0,1.5185142357199644,1.3742226651118699,0.8960276323816051,0.9501978225620088,6.965861328125,104.69682033730639
