algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,trust_honest,trust_attacker,krum_score_honest,krum_score_attacker,sigma_n_honest,sigma_n_attacker,sigma_dp_honest,sigma_dp_attacker,nsr_honest,nsr_attacker,noise_norm_honest,noise_norm_attacker,n_dp_norm_honest,n_dp_norm_attacker,eps_n_honest,eps_n_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,0,1.9666313198897776,0.25866819396615026,2.105413216114044,0.0,0.7972414456307888,0.0,1000.0,0.0,0.0,1.0,0.0,7.871066629886627,0.0,1.0,0.0,1.0,0.0,837.0955127280781,0.0,159.44806957244873,0.0,159.4480962753296,0.0,0.06293220223647289,0.0,0.06293220223647289,0.34612711230060084,1.0,1.0,5.102339080810546,26.7870564072985
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,1,2.0118245304112476,0.5195013862848282,1.876996826171875,0.0,0.8366613214214643,0.0,1000.0,0.0,0.0,0.990417130291462,0.0,9.958599050839743,0.0,1.0015384274236556,0.0,1.0015384274236556,0.0,846.3236657284446,0.0,159.72051493326822,0.0,159.720552444458,0.0,0.15093709517242843,0.0,0.15093709517242843,0.5263064524196632,0.990417130291462,1.0015384274236556,7.666586517333984,40.623535954965334
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,2,2.1242407608072953,0.6586335818767548,1.6510675768852234,0.0,0.8320858324015582,0.0,1000.0,0.0,0.0,0.9982126112337466,0.0,11.107063081529406,0.0,0.9858863381717151,0.0,0.9858863381717151,0.0,838.8282876915182,0.0,157.35369703504773,0.0,157.35372981318721,0.0,0.25670098922078227,0.0,0.25670098922078227,0.670086743917081,0.9982126112337466,0.9858863381717151,8.497101409912108,45.29672753534198
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,3,2.1944926379938514,0.7158055814504624,1.4438450675010681,0.0,0.8260760711772102,0.0,1000.0,0.0,0.0,0.9970957274947848,0.0,12.319525446210589,0.0,0.9791211095019939,0.0,0.9791211095019939,0.0,871.3144569109165,0.0,156.39659554617745,0.0,156.3966178894043,0.0,0.36474055895268576,0.0,0.36474055895268576,0.7787122173697072,0.9970957274947848,0.9791211095019939,8.75821060180664,48.793609587011325
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,4,2.2793179682375047,0.7465393822193146,1.2682672998905182,0.0,0.7965752367789929,0.0,1000.0,0.0,0.0,0.9988483007137592,0.0,9.881578280375553,0.0,0.9696220104184976,0.0,0.9696220104184976,0.0,932.6978214863901,0.0,154.4510046151968,0.0,154.45101517897385,0.0,0.47043291580485386,0.0,0.47043291580485386,0.8611576660629322,0.9988483007137592,0.9696220104184976,8.031452789306641,48.50028671729228
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,5,2.338713011235239,0.7670843795537948,1.1268050224781037,0.0,0.9868153244256973,0.0,1000.0,0.0,0.0,0.9838315695524216,0.0,11.422605752944946,0.0,0.9763238963740252,0.0,0.9763238963740252,0.0,1046.052810116909,0.0,155.79840698242188,0.0,155.79827041625975,0.0,0.5326712618777574,0.0,0.5326712618777574,0.9041652573327271,0.9838315695524216,0.9763238963740252,6.231930816650391,41.84211240467637
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,6,2.3696462521886006,0.7838297799825669,1.0142159687280654,0.0,0.918784109028903,0.0,1000.0,0.0,0.0,0.9797323887998407,0.0,9.821889682249589,0.0,0.972451532095727,0.0,0.972451532095727,0.0,1166.7017362978972,0.0,155.24235465309837,0.0,155.2423005537553,0.0,0.6087642461185563,0.0,0.6087642461185563,0.9491498600803235,0.9797323887998407,0.972451532095727,6.830661224365234,51.33487639710748
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,7,2.3897229449460458,0.7973975791931153,0.924903186917305,0.0,0.8940828648106806,0.0,1000.0,0.0,0.0,0.9779788769524673,0.0,13.230992218543744,0.0,0.9663609695480965,0.0,0.9663609695480965,0.0,1289.8429010896773,0.0,154.17516616295123,0.0,154.17510354929956,0.0,0.7094233567592011,0.0,0.7094233567592011,0.9991875898818433,0.9779788769524673,0.9663609695480965,8.942156005859376,74.81088826320129
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,8,2.403494835515866,0.808449579834938,0.8532087081670761,0.0,1.0083926936675762,0.0,1000.0,0.0,0.0,0.9444748368756525,0.0,16.40768442482784,0.0,0.9900878801411267,0.0,0.9900878801411267,0.0,1455.8018814330003,0.0,157.83841258081895,0.0,157.83843678441542,0.0,0.7859187045222186,0.0,0.7859187045222186,1.032615052873136,0.9444748368756525,0.9900878801411267,9.154629333496093,84.43650912311402
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,9,2.4382619976432234,0.8175825790166855,0.7947955591678619,0.0,0.9777597520086501,0.0,1000.0,0.0,0.0,0.9233640763494704,0.0,12.419297377268473,0.0,1.0018429904970523,0.0,1.0018429904970523,0.0,1641.0301411956823,0.0,159.91905325430412,0.0,159.91915045844183,0.0,0.8580384181952702,0.0,0.8580384181952702,1.0585350221960492,0.9233640763494704,1.0018429904970523,8.635634124755859,88.61562762456684
