algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,eps_n_honest,eps_n_attacker,trust_honest,trust_attacker,sigma_n_honest,sigma_n_attacker,sigma_dp_honest,sigma_dp_attacker,noise_norm_honest,noise_norm_attacker,nsr_honest,nsr_attacker,n_dp_norm_honest,n_dp_norm_attacker,krum_score_honest,krum_score_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,0,1.9666313198897776,0.25866799387335776,2.1054133019447328,0.0,0.7972417213022709,0.0,1000.0,0.0,0.0,0.06293220223647289,0.0,1.0,0.0,1.0,0.0,1.0,0.0,159.44812679290771,0.0,837.0958125175498,0.0,159.4480962753296,0.0,7.871070027351379,0.0,0.06293220223647289,0.34612711230060084,1.0,1.0,5.102339080810546,26.787066000561595
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,1,2.01171962719906,0.5194997863769532,1.8769968655109406,0.0,0.836648570994536,0.0,1000.0,0.0,0.0,0.15093688536600405,0.0,0.9904087459047636,0.0,1.001546745002847,0.0,1.001546745002847,0.0,159.72186406453451,0.0,846.3317745911727,0.0,159.72187868754068,0.0,9.958599050839743,0.0,0.15093688536600405,0.5263057106171838,0.9904087459047636,1.001546745002847,7.666650177001953,40.62392518037629
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,2,2.1242407608072953,0.6586317819356918,1.6510678384304047,0.0,0.8320858324015582,0.0,1000.0,0.0,0.0,0.2567007794143579,0.0,0.9982126112337466,0.0,0.9858863381717151,0.0,0.9858863381717151,0.0,157.35368912308306,0.0,838.8282468701219,0.0,157.35372981318721,0.0,11.107063081529406,0.0,0.2567007794143579,0.6700861943981328,0.9982126112337466,0.9858863381717151,8.497101409912108,45.296725330986575
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,3,2.1944926379938514,0.715805781364441,1.4438453187942506,0.0,0.8260760711772102,0.0,1000.0,0.0,0.0,0.3647403491462614,0.0,0.9970957274947848,0.0,0.9791211095019939,0.0,0.9791211095019939,0.0,156.3965895516532,0.0,871.3144236672231,0.0,156.3966178894043,0.0,12.319525446210589,0.0,0.3647403491462614,0.7787117736140979,0.9970957274947848,0.9791211095019939,8.75821060180664,48.79360772536449
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,4,2.2793179682375047,0.7465385820865631,1.2682676088809968,0.0,0.7965752367789929,0.0,1000.0,0.0,0.0,0.47043270599842946,0.0,0.9988483007137592,0.0,0.9696220104184976,0.0,0.9696220104184976,0.0,154.4510046151968,0.0,932.6978214863901,0.0,154.45101517897385,0.0,9.881578280375553,0.0,0.47043270599842946,0.861157290541743,0.9988483007137592,0.9696220104184976,8.031452789306641,48.50028671729228
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,5,2.338713011235239,0.7670833793878555,1.1268052849769592,0.0,0.9868153244256973,0.0,1000.0,0.0,0.0,0.532671052071333,0.0,0.9838315695524216,0.0,0.9763238963740252,0.0,0.9763238963740252,0.0,155.79832382202147,0.0,1046.0522570677763,0.0,155.79827041625975,0.0,11.422605752944946,0.0,0.532671052071333,0.9041649141156747,0.9838315695524216,0.9763238963740252,6.231930816650391,41.842090282711055
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,6,2.3696462521886006,0.7838299800157547,1.014216068148613,0.0,0.918801952492107,0.0,1000.0,0.0,0.0,0.6087641386123918,0.0,0.9797406602989543,0.0,0.9724436482504522,0.0,0.9724436482504522,0.0,155.24109441583806,0.0,1166.6964396617504,0.0,155.2410493330522,0.0,9.821889682249589,0.0,0.6087641386123918,0.9491496975116775,0.9797406602989543,0.9724436482504522,6.830606170654297,51.334643345117016
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,7,2.3897229449460458,0.7973977789878846,0.9249031989574432,0.0,0.8940828648106806,0.0,1000.0,0.0,0.0,0.7094232492530366,0.0,0.9779788769524673,0.0,0.9663609695480965,0.0,0.9663609695480965,0.0,154.17512880522628,0.0,1289.8425953035078,0.0,154.17510354929956,0.0,13.230992218543744,0.0,0.7094232492530366,0.9991874462846537,0.9779788769524673,0.9663609695480965,8.942156005859376,74.81087052760346
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,8,2.403494835515866,0.8084493799209594,0.8532089769840241,0.0,1.0083926936675762,0.0,1000.0,0.0,0.0,0.785918597016054,0.0,0.9444748368756525,0.0,0.9900878801411267,0.0,0.9900878801411267,0.0,157.83843731058056,0.0,1455.8021086027948,0.0,157.83843678441542,0.0,16.40768442482784,0.0,0.785918597016054,1.0326149218884033,0.9444748368756525,0.9900878801411267,9.154629333496093,84.43652229896212
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,9,2.4382619976432234,0.8175829788446426,0.7947955586910248,0.0,0.9777597520086501,0.0,1000.0,0.0,0.0,0.8580383106891057,0.0,0.9233640763494704,0.0,1.0018429904970523,0.0,1.0018429904970523,0.0,159.91910920319734,0.0,1641.030707249656,0.0,159.91915045844183,0.0,12.419297377268473,0.0,0.8580383106891057,1.058534901743264,0.9233640763494704,1.0018429904970523,8.635634124755859,88.61565819148142
