algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,eps_n_honest,eps_n_attacker,noise_norm_honest,noise_norm_attacker,nsr_honest,nsr_attacker,krum_score_honest,krum_score_attacker,n_dp_norm_honest,n_dp_norm_attacker,trust_honest,trust_attacker,sigma_dp_honest,sigma_dp_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,0,3.1464262685036277,0.147734162521859,2.2200598041216533,0.0,1.557967442732591,0.10573742551108202,1000.0,0.0,0.0,0.1704314228772798,0.0,155.79669424203726,0.0,1473.7424738314426,0.0,0.7711846549780323,0.06136457299192746,155.79669424203726,0.0,1.0,0.0,0.9769741490700595,0.0,0.1704314228772798,0.7121818840826754,1.0,0.9769741490700595,8.438987604777019,79.82771733253648
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,1,3.15811558326355,0.2526074940959612,2.107470776637395,0.0,1.6177059641251197,0.10039483221868674,1000.0,0.0,0.0,0.4732021783703703,0.0,158.36666283240686,0.0,1587.9412260903296,0.0,12.614657687291933,0.5712838894998034,158.36666283240686,0.0,0.9707794556250939,0.0,0.9933816010856256,0.0,0.4732021783703703,1.1264482710071961,0.9707794556250939,0.9933816010856256,17.15638847351074,172.0269661597857
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,2,3.180514292417896,0.33906540895501774,1.990007904668649,0.0,1.6874165832996368,0.10343355536460877,1000.0,0.0,0.0,0.711348028700559,0.0,154.10494537353514,0.0,1488.821775973727,0.0,2.1970229976344853,0.05980469211935997,154.10494537353514,0.0,0.988000425696373,0.0,0.9650309176773076,0.0,0.711348028700559,1.3202147974772143,0.988000425696373,0.9650309176773076,12.84207878112793,124.0684813311439
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,3,3.201417205281668,0.40115915710727373,1.8684448768695197,0.0,1.7431667830262865,0.10496989799042543,1000.0,0.0,0.0,0.9912997188564499,0.0,156.19770758492606,0.0,1507.2978759313266,0.0,15.343985886313021,0.060842078862090906,156.19770758492606,0.0,0.961036599108151,0.0,0.9787199412822786,0.0,0.9912997188564499,1.4703644840200447,0.961036599108151,0.9787199412822786,18.223065884908042,175.85141885865474
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,4,3.2378432007058566,0.4599658214797576,1.7470373317599297,0.0,2.0072458153185635,0.10562645134826501,1000.0,0.0,0.0,1.1800901039488545,0.0,155.18555549953294,0.0,1478.9778825814121,0.0,4.476771073982768,0.059846940202017626,155.18555549953294,0.0,0.9553271272908086,0.0,0.9722107476940982,0.0,1.1800901039488545,1.5371946073702427,0.9553271272908086,0.9722107476940982,14.871949068705241,141.73538041405203
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,5,3.2738345942150615,0.5284833187858263,1.627274943391482,0.0,1.9945465070860726,0.10526906463007132,1000.0,0.0,0.0,1.2894477720812711,0.0,154.14046260288782,0.0,1476.2011142543306,0.0,1.2360546590893395,0.059531829568247,154.14046260288782,0.0,0.9466024126325335,0.0,0.9684555881761832,0.0,1.2894477720812711,1.5657504862027274,0.9466024126325335,0.9684555881761832,8.991526985168457,86.11173166483594
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,6,3.291359331561202,0.5953491523861885,1.510896376768748,0.0,2.058541040420532,0.1042398277670145,1000.0,0.0,0.0,1.4833121418554456,0.0,153.00686950683593,0.0,1510.9961237724326,0.0,6.028251733183861,0.8308998530109724,153.00686950683593,0.0,0.9441342687606812,0.0,0.9589454194180885,0.0,1.4833121418554456,1.5993597164147595,0.9441342687606812,0.9589454194180885,15.938215573628744,157.39542955962844
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,7,3.3472464575201695,0.6510424841195345,1.4028318797548611,0.0,1.989846444129944,0.10219142623245717,1000.0,0.0,0.0,1.763893130788982,0.0,150.79896189371746,0.0,1520.487845203385,0.0,17.075585463022193,1.0882167790085078,150.79896189371746,0.0,0.9478331903616587,0.0,0.9439441255121419,0.0,1.763893130788982,1.6096871429062243,0.9478331903616587,0.9439441255121419,18.849870236714683,190.06098065042312
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,8,3.529366238186026,0.6916703996558984,1.303903377056122,0.0,2.16398697870749,0.09906658567488194,1000.0,0.0,0.0,1.9830568355423357,0.0,146.28982713487414,0.0,1515.2685572746327,0.0,8.061703315556601,2.2810498505830763,146.28982713487414,0.0,0.9640941818555196,0.0,0.9179620294503932,0.0,1.9830568355423357,1.5928320421562199,0.9640941818555196,0.9179620294503932,16.45760555267334,170.46771269339618
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,9,3.6373262690238244,0.718040815492471,1.2173131654659908,0.0,2.835457366704941,0.09488977367679279,1000.0,0.0,0.0,2.0766065232003803,0.0,150.4852180480957,0.0,1655.076092112116,0.0,1.7542531058075839,0.06456553737322489,150.4852180480957,0.0,0.9217190176248551,0.0,0.9436660535225074,0.0,2.0766065232003803,1.582482300331806,0.9217190176248551,0.9436660535225074,12.540434837341309,137.92300767600966
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,10,3.707709091220923,0.7383383152385553,1.137139474103848,0.0,2.248512105508284,0.08997517377138138,1000.0,0.0,0.0,2.2058112346397083,0.0,150.0394252430309,0.0,1755.2038046903936,0.0,2.6152220116081564,0.06699941779176394,150.0394252430309,0.0,0.9125676344741475,0.0,0.9399957671622786,0.0,2.2058112346397083,1.5642198846856081,0.9125676344741475,0.9399957671622786,13.753613980611165,160.89368209661941
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,11,3.8625043577978246,0.7513899794469278,1.071773788581292,0.0,2.7904911922371904,0.08489301465451718,1000.0,0.0,0.0,2.2818698931505543,0.0,149.31692173170006,0.0,1844.6001098956915,0.0,9.63422942497646,1.5153700680782398,149.31692173170006,0.0,0.9032312761182371,0.0,0.9364089346007383,0.0,2.2818698931505543,1.560392208159886,0.9032312761182371,0.9364089346007383,14.309538332621257,176.77417719833713
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,12,4.118777094510739,0.7628403974076112,1.0133023152748744,0.0,2.6757777100024014,0.080081461618344,1000.0,0.0,0.0,2.4283217499517518,0.0,145.41391389266303,0.0,1942.6468285108542,0.0,1.817089349841294,0.48556052669882777,145.41391389266303,0.0,0.9189870927644812,0.0,0.9115863930347615,0.0,2.4283217499517518,1.5403665967730764,0.9189870927644812,0.9115863930347615,13.935500081380209,186.17032106562357
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,13,4.397208855559105,0.7713799787064394,0.962307530393203,0.0,2.518899989979608,0.0756220530718565,1000.0,0.0,0.0,2.5717925275641558,0.0,148.22363935198103,0.0,2044.767223696921,0.0,12.518102400004864,0.32564732419947784,148.22363935198103,0.0,0.8840411007404327,0.0,0.9293332266772587,0.0,2.5717925275641558,1.527322862941808,0.8840411007404327,0.9293332266772587,17.292757924397787,238.55617609797412
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,14,4.828816675036065,0.7785295621802409,0.9197488099336624,0.0,2.898172753197806,0.07163507106403509,1000.0,0.0,0.0,2.637798027375601,0.0,144.16082037062873,0.0,2089.3656919749474,0.0,10.703736862611203,0.058922864682972434,144.16082037062873,0.0,0.9023280541102091,0.0,0.9027991448327949,0.0,2.637798027375601,1.5441240065287587,0.9023280541102091,0.9027991448327949,12.614071782430013,182.8194980478079
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,15,4.85457393697228,0.7859428954621156,0.8790447550515333,0.0,2.815337397158146,0.0679508453855912,1000.0,0.0,0.0,2.6807689444604272,0.0,147.4070634841919,0.0,2292.4108442810457,0.0,2.238293678034097,0.05962226030727227,147.4070634841919,0.0,0.8629463911056519,0.0,0.9234824707735246,0.0,2.6807689444604272,1.5589071684346907,0.8629463911056519,0.9234824707735246,9.827137565612793,152.8273896187364
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,16,4.887640757877287,0.7894320644438266,0.8483895890414714,0.0,3.3479955900799143,0.06476809370021025,1000.0,0.0,0.0,2.7941768071333866,0.0,138.76458774913442,0.0,2328.4405981245404,0.0,1.7338628446344624,0.06178636954476436,138.76458774913442,0.0,0.9159300246021964,0.0,0.8695236249431768,0.0,2.7941768071333866,1.5660469112185178,0.9159300246021964,0.8695236249431768,12.72008721033732,213.44038816141614
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,17,4.919823145516577,0.7946641460061074,0.8185664904614289,0.0,3.0905874503983393,0.0617475031564633,1000.0,0.0,0.0,2.873157724260427,0.0,142.70438045925565,0.0,2347.721994088253,0.0,2.8843049756768675,0.054715616380174956,142.70438045925565,0.0,0.8685324456956651,0.0,0.8959855476052699,0.0,2.873157724260427,1.5663203555916294,0.8685324456956651,0.8959855476052699,10.702828534444173,176.079149556619
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,18,4.919823145516577,0.7958212284992139,0.7983475277821223,0.0,3.1713068838472718,0.059084405191242695,1000.0,0.0,0.0,3.0205101457541814,0.0,144.4924695050275,0.0,2529.7851573521916,0.0,14.994378332186628,0.7323475694904725,144.4924695050275,0.0,0.8410529913725676,0.0,0.9062025555274608,0.0,3.0205101457541814,1.5619595866228873,0.8410529913725676,0.9062025555274608,16.25540281931559,284.60083020212153
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,19,4.934190217433483,0.7990808129310608,0.777990727374951,0.0,3.4364549412446865,0.05658789121856292,1000.0,0.0,0.0,3.1009457047695292,0.0,142.38639292997473,0.0,2473.663910089956,0.0,1.6039420373956947,0.055751342823108035,142.38639292997473,0.0,0.8441882694468779,0.0,0.8924307231282743,0.0,3.1009457047695292,1.5517721916767924,0.8441882694468779,0.8924307231282743,10.085702832539877,175.21786029803854
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,20,4.963800033682947,0.7957570660859347,0.7777863353490829,0.8597233337144164,3.132513362627763,0.5426108568906785,1000.0,0.8127972330306961,0.9123999029361806,3.2216417710510044,0.0,134.70185353205756,0.0,2502.85668844028,0.0,19.01311928492326,6.061807290712992,134.70185353205756,0.0,0.8915319580298203,0.0,0.8450803860370514,0.0,3.2216417710510044,1.5393881717942202,0.8915319580298203,0.8450803860370514,14.592700799306234,271.14280791436363
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,21,4.964401143911975,0.7819174806897838,0.8068588187297185,0.872986224608919,3.2499374367974023,0.8064914385477702,1000.0,0.8366524949653166,0.9126189895045155,3.3861859655046214,0.0,135.2379379272461,0.0,2609.210615376882,0.0,4.594586675817316,6.1855238993962605,135.2379379272461,0.0,0.8738631226799705,0.0,0.8474517653843645,0.0,3.3861859655046214,1.4957747355817859,0.8738631226799705,0.8474517653843645,12.396810976664225,239.17763974288087
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,22,5.026216993233716,0.7530603975368043,1.1936943175892034,0.856212818498148,3.301963572502136,0.999999984105428,1000.0,0.8080508474576271,0.91047982812127,3.5008883261525754,0.0,135.36482482910156,0.0,2572.822985649991,0.0,8.633566017150878,2.9933921297391257,135.36482482910156,0.0,0.8569591963291168,0.0,0.8490590525992516,0.0,3.5008883261525754,1.5043988023201738,0.8569591963291168,0.8490590525992516,14.100502586364746,268.00239433854074
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,23,5.038434581282734,0.7629487313640614,1.0783250585198403,0.8933566433566432,3.787344151073032,0.9999999741713206,1000.0,0.8739311018812607,0.9136653895274585,3.6009327577378922,0.0,133.64199617173938,0.0,2534.5093098061598,0.0,3.9990692138671875,0.39920804351568223,133.64199617173938,0.0,0.8577657888333002,0.0,0.8374997902875416,0.0,3.6009327577378922,1.4993141804761874,0.8577657888333002,0.8374997902875416,10.023149712880452,190.08819823546202
