algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,noise_norm_honest,noise_norm_attacker,eps_n_honest,eps_n_attacker,nsr_honest,nsr_attacker,sigma_dp_honest,sigma_dp_attacker,n_dp_norm_honest,n_dp_norm_attacker,krum_score_honest,krum_score_attacker,trust_honest,trust_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,300,60,1.1,1.0,0.3,iid,1.0,20,0,4.98806051836731,0.15571832914526265,2.2105944136778515,0.0,1.5584682262305058,0.10573742551108202,1000.0,0.0,0.0,155.84690047755385,0.0,1.3717166425510101,0.0,1472.7496372726137,0.0,0.9769741490700594,0.0,155.84690047755385,0.0,79.87996321013479,37.963602701822914,1.0,0.0,1.3717166425510101,2.2272402384216754,1.0,0.9769741490700594,42.85789763132731,405.00615024996875
noise-game,scale,mnist,42,300,60,1.1,1.0,0.3,iid,1.0,20,1,5.095295215929252,0.2569620766987403,2.094364322225253,0.0,1.7873876613119375,0.10051315389573574,1000.0,0.0,0.0,164.71403459189594,0.0,2.3584024306727898,0.0,1644.877254109287,0.0,1.0322849694676064,0.0,164.71403459189594,0.0,91.58794397547625,35.445310815175375,0.9304725424103115,0.0,2.3584024306727898,2.5003032914349332,0.9304725424103115,1.0322849694676064,47.355284945170084,472.9022105564201
noise-game,scale,mnist,42,300,60,1.1,1.0,0.3,iid,1.0,20,2,5.200218109162687,0.3370679092903932,1.9721455867091815,0.0,2.026553364649211,0.10358853278060755,1000.0,0.0,0.0,163.37264763819027,0.0,3.2091414871866233,0.0,1570.7037052668252,0.0,1.0241632259175668,0.0,163.37264763819027,0.0,112.5027853038213,39.66656182607015,0.9261555541051577,0.0,3.2091414871866233,2.4202334533366163,0.9261555541051577,1.0241632259175668,49.692513656616214,477.75571035199266
noise-game,scale,mnist,42,300,60,1.1,1.0,0.3,iid,1.0,20,3,5.3443369129056935,0.3983404068276286,1.851753094792366,0.0,2.3773629256657194,0.10505531951785088,1000.0,0.0,0.0,162.13713880266462,0.0,3.798281312342764,0.0,1523.024867893267,0.0,1.0165072866586857,0.0,162.13713880266462,0.0,142.92345651899066,30.902547200520832,0.9213574767112732,0.0,3.798281312342764,2.193836188154987,0.9213574767112732,1.0165072866586857,47.289998817443845,444.2155864688696
noise-game,scale,mnist,42,300,60,1.1,1.0,0.3,iid,1.0,20,4,5.453113232153912,0.45255498873690764,1.7343715886274973,0.0,2.861556205950992,0.10586010937889417,1000.0,0.0,0.0,163.8490125629264,0.0,4.125994236484959,0.0,1507.8563270273537,0.0,1.0268526441850827,0.0,163.8490125629264,0.0,189.49610245395715,56.1065491994222,0.8972308602131588,0.0,4.125994236484959,2.0112508258116066,0.8972308602131588,1.0268526441850827,48.47199954986572,446.0741634122587
noise-game,scale,mnist,42,300,60,1.1,1.0,0.3,iid,1.0,20,5,5.6167428802925,0.5046249882007638,1.6337824816505113,0.0,3.337996169924736,0.1058135653535525,1000.0,0.0,0.0,159.7131707933214,0.0,4.39868590057986,0.0,1443.2440615004061,0.0,1.0012832863856427,0.0,159.7131707933214,0.0,278.63733164469403,78.62189350128173,0.9117537198795213,0.0,4.39868590057986,1.8218028436863665,0.9117537198795213,1.0012832863856427,47.91395123799642,432.97321845012186
noise-game,scale,mnist,42,300,60,1.1,1.0,0.3,iid,1.0,20,6,5.666414909795906,0.5544649857406815,1.5316696052749952,0.0,3.3936123616165585,0.10476056362191837,1000.0,0.0,0.0,159.16795624627008,0.0,4.654013896770973,0.0,1487.372672722674,0.0,0.9982381529682236,0.0,159.16795624627008,0.0,240.85196484459772,140.06845893859864,0.9018948078155518,0.0,4.654013896770973,1.5938842471030357,0.9018948078155518,0.9982381529682236,47.75038687388102,446.2118018168022
noise-game,scale,mnist,42,300,60,1.1,1.0,0.3,iid,1.0,20,7,5.750565285744355,0.5844833181550105,1.456087659796079,0.0,3.6486243094716753,0.10281088637808959,1000.0,0.0,0.0,159.46306482950845,0.0,4.939784220931883,0.0,1536.4040805559246,0.0,0.9999419093833662,0.0,159.46306482950845,0.0,431.0470967973982,146.89882520039876,0.8866506559508187,0.0,4.939784220931883,1.2416101304217668,0.8866506559508187,0.9999419093833662,55.81207269032796,537.7414281945736
noise-game,scale,mnist,42,300,60,1.1,1.0,0.3,iid,1.0,20,8,5.9932680821427375,0.6005287350465854,1.413998979330063,0.0,4.222753844200036,0.09968165991206963,1000.0,0.0,0.0,157.0730453882462,0.0,5.024205371444242,0.0,1463.4472305342938,0.0,0.984002626351184,0.0,157.0730453882462,0.0,496.7266624646309,194.7239449818929,0.8910840023786594,0.0,5.024205371444242,1.2199866214695396,0.8910840023786594,0.984002626351184,51.048739751180015,475.62034992364556
noise-game,scale,mnist,42,300,60,1.1,1.0,0.3,iid,1.0,20,9,6.277677853767592,0.6165020660807689,1.3686040977636973,0.0,4.393062204122543,0.09552440519134203,1000.0,0.0,0.0,153.49839758872986,0.0,5.1663368750909475,0.0,1497.7033218739798,0.0,0.962337084046969,0.0,153.49839758872986,0.0,336.11199951171875,175.1852486928304,0.9022415857762098,0.0,5.1663368750909475,1.0473867465337836,0.9022415857762098,0.962337084046969,40.932906023661296,399.387552499728
