algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,sigma_dp_honest,sigma_dp_attacker,nsr_honest,nsr_attacker,trust_honest,trust_attacker,krum_score_honest,krum_score_attacker,noise_norm_honest,noise_norm_attacker,n_dp_norm_honest,n_dp_norm_attacker,eps_n_honest,eps_n_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,0,10.280295603244532,0.141374579941233,2.2376535723606747,0.0,4.364054203033447,0.10573742551108202,1000.0,0.0,0.0,0.6838819043490414,0.0,1031.9916654358549,0.0,1.0,0.0,1355.8757233992867,631.398594156901,109.1014267631199,0.0,109.1014267631199,0.0,4.925974976554672,0.0,4.925974976554672,5.1356839294805505,1.0,0.6838819043490414,52.27776699066162,494.4960063546805
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,1,11.210171178298406,0.20491082835942506,2.1707587669293087,0.0,4.912471877641915,0.10044608786702156,1000.0,0.0,0.0,0.7604018403480987,0.0,1147.9686761370453,0.0,0.8719973840004156,0.0,1508.8373917508716,876.3966094970704,121.3200971114734,0.0,121.3200971114734,0.0,8.037632262877185,0.0,8.037632262877185,4.595087343339795,0.8719973840004156,0.7604018403480987,61.165548960367836,578.7675408857605
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,2,11.865171083448816,0.2508870769602557,2.1771771853168804,0.0,6.0790667040594695,0.10363339409232139,1000.0,0.0,0.0,0.7794681563884608,0.0,1056.760944073805,0.0,0.8279250402902735,0.0,1885.5374645364695,1065.095479329427,124.337510339145,0.0,124.337510339145,0.0,9.672674024784707,0.0,9.672674024784707,3.6094222785946246,0.8279250402902735,0.7794681563884608,60.09646333058675,510.7677896356724
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,3,12.51288954850398,0.283650826724867,2.2886454969644547,0.0,7.3002832897247805,0.10509693635006746,1000.0,0.0,0.0,0.772583393138445,0.0,959.7113099842347,0.0,0.8226032954069876,0.0,3131.9605397870464,1499.986417643229,123.18168615525768,0.0,123.18168615525768,0.0,10.69667380594868,0.0,10.69667380594868,2.6090067269513932,0.8226032954069876,0.772583393138445,63.64387118021647,495.85084349185456
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,4,13.356264051296604,0.30496874302625654,2.4726876760522525,0.0,8.344803208396549,0.10586151803533236,1000.0,0.0,0.0,0.75838872511679,0.0,890.9612877732673,0.0,0.8285564037542494,0.0,3915.3365594773068,2005.8906107584635,120.97814505440849,0.0,120.97814505440849,0.0,11.428008676227291,0.0,11.428008676227291,1.5900926842177026,0.8285564037542494,0.75838872511679,63.513526153564456,467.75467608096534
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,5,14.329370128102742,0.31596374241635206,2.9037127628922463,0.0,9.58586633974506,0.10581993634502093,1000.0,0.0,0.0,0.7463864326980699,0.0,761.2207151498121,0.0,0.8312869201744756,0.0,5148.89830952306,2380.3824462890625,119.08405716188493,0.0,119.08405716188493,0.0,11.840632555619038,0.0,11.840632555619038,1.2756219282073444,0.8312869201744756,0.7463864326980699,61.526762866973876,393.2973694940696
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,6,15.357442136952253,0.32345665988201894,3.396617405116558,0.0,10.483244795759186,0.10481739081442357,1000.0,0.0,0.0,0.7304974097921823,0.0,719.7274240462165,0.0,0.8403299380751217,0.0,5417.142438616072,3232.4007853190105,116.5156962931657,0.0,116.5156962931657,0.0,12.232009242730788,0.0,12.232009242730788,1.1069368738648686,0.8403299380751217,0.7304974097921823,57.77236607869466,356.864847756249
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,7,16.837605324104832,0.3252979086712003,4.234007050096989,0.0,11.464708626270294,0.10288210970660051,1000.0,0.0,0.0,0.7151611296332375,0.0,651.7125932191173,0.0,0.848750576376915,0.0,7584.931146621704,3656.7114705403646,114.11007523536682,0.0,114.11007523536682,0.0,12.69285846135077,0.0,12.69285846135077,0.9980509104115335,0.848750576376915,0.7151611296332375,60.85870679219564,347.58004971686256
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,8,18.459826907488033,0.33108582397301994,5.047774793704351,0.0,12.347988638384589,0.09984388376275698,1000.0,0.0,0.0,0.6953077223568145,0.0,590.1087516207264,0.0,0.8647970690809447,0.0,8049.683349609375,3888.4732340494793,110.91576063221899,0.0,110.91576063221899,0.0,13.135982180270465,0.0,13.135982180270465,1.212765113052908,0.8647970690809447,0.6953077223568145,53.60928430557251,285.21922995001773
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,9,19.357069730267664,0.33838707506656646,5.964775617917379,0.0,13.090804743110587,0.09588850649694601,1000.0,0.0,0.0,0.6845472589751094,0.0,536.4840977612848,0.0,0.8661844090584221,0.0,8227.612577945814,4190.243924967448,109.23601615975757,0.0,109.23601615975757,0.0,13.592492142680033,0.0,13.592492142680033,1.484084879313529,0.8661844090584221,0.6845472589751094,49.611357339223225,243.65319439991683
