algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,krum_score_honest,krum_score_attacker,noise_norm_honest,noise_norm_attacker,trust_honest,trust_attacker,sigma_dp_honest,sigma_dp_attacker,eps_n_honest,eps_n_attacker,n_dp_norm_honest,n_dp_norm_attacker,nsr_honest,nsr_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,0,5.481337608300191,0.12394333019231757,6.827414625883103,0.0,38.96477309517238,0.10573742551108202,1000.0,0.0,0.0,108063.95964673912,50301.38170572917,155.85918287194295,0.0,1.0,0.0,0.9769741490700595,0.0,2.6264742706438415,0.0,155.85918287194295,0.0,1474.273824386548,0.0,2.6264742706438415,2.738288717896417,1.0,0.9769741490700595,74.68252512613932,706.422874185221
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,1,5.557996814094071,0.15943874606552225,7.396110462148984,0.0,24.981985005465422,0.10046712656815847,1000.0,0.0,0.0,36811.799699767565,27357.260221354165,213.50023102563276,0.0,0.6134354662427233,0.0,1.3382823575377614,0.0,4.166303925749716,0.0,213.50023102563276,0.0,1047.208070440018,0.0,4.166303925749716,2.3788358960320246,0.6134354662427233,1.3382823575377614,107.6396998087565,527.9674021801758
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,2,6.0435907479367454,0.1851645790350934,11.486623118817807,0.0,26.576923268365448,0.10347448239723842,1000.0,0.0,0.0,33814.82247609105,14642.468212890624,226.5727079983415,0.0,0.5117784094121628,0.0,1.4204781728802336,0.0,4.926779756623278,0.0,226.5727079983415,0.0,764.0130478158982,0.0,4.926779756623278,1.8310348464796455,0.5117784094121628,1.4204781728802336,109.5101421991984,369.2729731110174
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,3,6.724773322270885,0.201656244834885,21.18339422941208,0.0,36.15775651316489,0.10481832586228848,1000.0,0.0,0.0,82707.78228956653,48549.677408854164,212.7093978389617,0.0,0.5868364738811168,0.0,1.3340562515665124,0.0,5.433084530747613,0.0,212.7093978389617,0.0,667.9828328452661,0.0,5.433084530747613,1.328990608317833,0.5868364738811168,1.3340562515665124,109.89985555013021,345.12446363672086
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,4,7.411604715793353,0.209875827220579,34.04740099459887,0.0,44.429885776743056,0.10533337568243345,1000.0,0.0,0.0,122930.88479662698,66105.9263671875,198.00025782509456,0.0,0.67049135127297,0.0,1.2411604880407807,0.0,5.828785388611986,0.0,198.00025782509456,0.0,610.8950309456685,0.0,5.828785388611986,0.8626965857120559,0.67049135127297,1.2411604880407807,103.95013535817465,320.71989124647604
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,5,8.114517908715118,0.2253245777140061,53.11660014092922,0.0,50.6523548537685,0.10546983256936074,1000.0,0.0,0.0,160074.5572076613,78909.62239583333,189.40751709476595,0.0,0.7138240760222317,0.0,1.1871716613547958,0.0,6.10713458499605,0.0,189.40751709476595,0.0,469.9885884796366,0.0,6.10713458499605,0.8084895581861848,0.7138240760222317,1.1871716613547958,97.8605504989624,242.82743738114556
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,6,8.499607794842493,0.23246457772329449,72.01100292056799,0.0,59.31714970975363,0.1047793215761582,1000.0,0.0,0.0,181920.157759979,114363.13177083334,170.5789017877659,0.0,0.8280193757171891,0.0,1.0694365977346982,0.0,6.421305161146098,0.0,170.5789017877659,0.0,420.6003232945745,0.0,6.421305161146098,0.8002216883566534,0.8280193757171891,1.0694365977346982,84.57870546976726,208.5476603002265
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,7,8.913099721317417,0.2397383274200062,97.20586290756862,0.0,61.407429886981845,0.10328247199455896,1000.0,0.0,0.0,218745.18701171875,125062.88528645833,166.46640920639038,0.0,0.8430749047547579,0.0,1.0433076383854747,0.0,6.7519310161192285,0.0,166.46640920639038,0.0,346.3718451404079,0.0,6.7519310161192285,0.7930832238248469,0.8430749047547579,1.0433076383854747,88.78208491007487,184.73165074155088
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,8,9.363042900831287,0.25373999377091727,119.14584178229173,0.0,64.35954222494158,0.10062007730205853,1000.0,0.0,0.0,207957.46248653016,122377.74973958333,160.47622404427364,0.0,0.8710597267631313,0.0,1.006026287838242,0.0,7.051045401419592,0.0,160.47622404427364,0.0,277.2894836675137,0.0,7.051045401419592,0.8495375393052806,0.8710597267631313,1.006026287838242,77.56350828806559,134.02325043929832
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,9,9.840393963432899,0.2705808257373671,140.86028109490871,0.0,65.532003288969,0.09745397754013538,1000.0,0.0,0.0,201060.6900086009,114018.80833333333,157.71911957067087,0.0,0.877462693105597,0.0,0.9883397577091462,0.0,7.317946395423334,0.0,157.71911957067087,0.0,240.3530753340262,0.0,7.317946395423334,0.8852389536735393,0.877462693105597,0.9883397577091462,71.63076680501302,109.16035504753687
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,10,10.329970878386213,0.28685374340663355,160.79022736748058,0.0,66.21737064014782,0.09329783668120702,1000.0,0.0,0.0,229878.90475852272,134095.90572916667,155.26197537508878,0.0,0.880804053219882,0.0,0.9735195266759968,0.0,7.58720798814233,0.0,155.26197537508878,0.0,202.43179616594247,0.0,7.58720798814233,0.8841157196209579,0.880804053219882,0.9735195266759968,71.16173871358235,92.7812399093903
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,11,10.329970878386213,0.29562832533071437,189.00425041715303,0.0,66.74977818473441,0.08878227447470029,1000.0,0.0,0.0,262953.30577612703,152332.66927083334,152.88551780825756,0.0,0.8848655678209711,0.0,0.9582270162318768,0.0,7.878012838513159,0.0,152.88551780825756,0.0,216.34437475495616,0.0,7.878012838513159,0.8743669417386665,0.8848655678209711,0.9582270162318768,77.71680488586426,109.97505716710272
