algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,trust_honest,trust_attacker,n_dp_norm_honest,n_dp_norm_attacker,krum_score_honest,krum_score_attacker,nsr_honest,nsr_attacker,eps_n_honest,eps_n_attacker,noise_norm_honest,noise_norm_attacker,sigma_dp_honest,sigma_dp_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,0,3.1464262685036277,0.14206624602278073,2.383825197815895,0.0,24.927479083721455,0.10573742551108202,1000.0,0.0,0.0,1.0,0.0,155.79669424203726,0.0,188.20595553252272,0.06136457299192746,1473.7424738314426,0.0,0.1704314228772798,0.0,155.79669424203726,0.0,0.9769741490700595,0.0,0.1704314228772798,0.7121818840826754,1.0,0.9769741490700595,8.438987604777019,79.82771733253648
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,1,3.15811558326355,0.2288858281293263,2.5703616559505464,0.0,22.901509651770958,0.10039483221868674,1000.0,0.0,0.0,0.9123342518623059,0.0,167.31568497877853,0.0,1858.4989006529167,14.418129818327724,1453.7223683197624,0.0,0.4731270466253331,0.0,167.31568497877853,0.0,1.0497916585868734,0.0,0.4731270466253331,1.1262695219889653,0.9123342518623059,1.0497916585868734,18.12586587270101,157.48658990130758
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,2,3.1780079834752413,0.29576999296744666,2.5375374337037404,0.0,24.38601620197296,0.10343632698059083,1000.0,0.0,0.0,0.9511263534426689,0.0,159.775244140625,0.0,498.75417912467384,0.05971184447407722,1388.7628397808467,0.0,0.7112047437205333,0.0,159.775244140625,0.0,1.0004115169634682,0.0,0.7112047437205333,1.3199484620291542,0.9511263534426689,1.0004115169634682,13.314603678385417,115.7302366484039
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,3,3.191473528926477,0.3329712419770658,2.473150744040807,0.0,19.887256537164962,0.10497411824762821,1000.0,0.0,0.0,0.7969468802745853,0.0,180.98481042044503,0.0,1391.8560837668233,0.06074926306804021,1369.2921661227917,0.0,0.9905580129854111,0.0,180.98481042044503,0.0,1.133716721202676,0.0,0.9905580129854111,1.4692618110857012,0.7969468802745853,1.133716721202676,21.11489454905192,159.75075271432567
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,4,3.214744311758601,0.3711049894336611,2.497664214670658,0.0,19.987409674603008,0.10555518604815006,1000.0,0.0,0.0,0.7319406121969223,0.0,188.58992999532947,0.0,96.0435230591051,0.06010422526548306,1283.5800028188266,0.0,1.1784403250485977,0.0,188.58992999532947,0.0,1.18119044017119,0.0,1.1784403250485977,1.5350326181376197,0.7319406121969223,1.18119044017119,18.073201624552407,123.00975027013756
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,5,3.24426673461559,0.42186498806501427,2.31446166485548,0.0,18.975713644708907,0.10523783055444559,1000.0,0.0,0.0,0.700118325650692,0.0,190.62104034423828,0.0,28.343428694776126,0.05955467118571202,1334.6380423266735,0.0,1.2867953281117863,0.0,190.62104034423828,0.0,1.1970122690650835,0.0,1.2867953281117863,1.5624980449863008,0.700118325650692,1.1970122690650835,11.119560686747233,77.85388580238931
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,6,3.2821356771230814,0.4579495723359287,2.402157750229041,0.0,20.149763469696044,0.1041668693224589,1000.0,0.0,0.0,0.7191104209423065,0.0,186.03275573730468,0.0,133.26391804739833,10.65814399632315,1458.2659013633283,0.0,1.4786848864806583,0.0,186.03275573730468,0.0,1.1661029237530542,0.0,1.4786848864806583,1.594323517961363,0.7191104209423065,1.1661029237530542,19.37841205596924,151.90269805868004
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,7,3.3314652161503955,0.4685716537758708,2.673571520547072,0.0,22.96515808105469,0.10217123987774054,1000.0,0.0,0.0,0.8281241049369176,0.0,168.52926279703777,0.0,2135.6315962040176,30.718915911763908,1464.429632254554,0.0,1.75695621946315,0.0,168.52926279703777,0.0,1.0546359802948335,0.0,1.75695621946315,1.603277584623772,0.8281241049369176,1.0546359802948335,21.06615784962972,183.05370403181925
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,8,3.397776699092244,0.4834054060280323,2.759318918486436,0.0,20.727410228164107,0.09899831426640351,1000.0,0.0,0.0,0.731246319633943,0.0,179.81252599645543,0.0,582.8699122823223,95.20695016396543,1296.141261630808,0.0,1.9702075133420007,0.0,179.81252599645543,0.0,1.1283543449758497,0.0,1.9702075133420007,1.5820714786865835,0.731246319633943,1.1283543449758497,20.228909174601238,145.8158919334659
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,9,3.493533176347226,0.5065779038394491,3.148813768227895,0.0,27.092381858825682,0.09481533405681451,1000.0,0.0,0.0,0.7271102920174599,0.0,178.5063850402832,0.0,85.4156785560539,0.06623650702337423,1305.0066914122804,0.0,2.0600472482813306,0.0,178.5063850402832,0.0,1.1189413289228838,0.0,2.0600472482813306,1.5691750920287761,0.7271102920174599,1.1189413289228838,14.875532086690267,108.75055761769002
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,10,3.595163721802323,0.5176229036413134,2.9749214669068653,0.0,18.63484484499151,0.0898978671679894,1000.0,0.0,0.0,0.6030471318147399,0.0,193.71197787198153,0.0,63.16106013885953,0.06833381491402785,1737.275116688171,0.0,2.181124716740602,0.0,193.71197787198153,0.0,1.2137618458110433,0.0,2.181124716740602,1.5452093179087873,0.6030471318147399,1.2137618458110433,17.75693130493164,159.25021902974902
