algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,trust_honest,trust_attacker,nsr_honest,nsr_attacker,noise_norm_honest,noise_norm_attacker,eps_n_honest,eps_n_attacker,sigma_n_honest,sigma_n_attacker,krum_score_honest,krum_score_attacker,n_dp_norm_honest,n_dp_norm_attacker,sigma_dp_honest,sigma_dp_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,0,1.8738019828490433,0.1454666626639664,2.2216589232285817,0.0,3.1820285687079797,0.10573742551108202,1000.0,0.0,0.0,1.0,0.0,3010.006147678119,0.0,318.20281747671277,0.0,0.10149760740432319,0.0,1.9953948298140116,0.0,3.1023474744736004,0.06136457299192746,318.20281747671277,0.0,1.9953948298140116,0.0,0.10149760740432319,0.42412811000905415,1.0,1.9953948298140116,17.235985946655273,163.04199966589812
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,1,1.933822381247812,0.2448145774503549,2.114514433344205,0.0,3.3067607421141405,0.10039483221868674,1000.0,0.0,0.0,0.9702655856425946,0.0,3231.393628528609,0.0,324.2932950533353,0.0,0.28306597922774185,0.0,2.0341794340048343,0.0,52.67167977284855,2.1953569975371163,324.2932950533353,0.0,2.0341794340048343,0.0,0.28306597922774185,0.6738548909680186,0.9702655856425946,2.0341794340048343,35.13177363077799,350.06764309059935
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,2,1.996847564361757,0.3297279089068373,2.0008949334422748,0.0,3.405719685554504,0.1034359909594059,1000.0,0.0,0.0,0.9807669579982757,0.0,3027.3580327129675,0.0,318.31410217285156,0.0,0.4256597618009048,0.0,1.9933040090833956,0.0,9.147460861550645,0.05980474247286717,318.31410217285156,0.0,1.9933040090833956,0.0,0.4256597618009048,0.7900451289675422,0.9807669579982757,1.9933040090833956,26.526175181070965,252.27983605941398
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,3,1.996847564361757,0.38914707365135354,1.8833261807759603,0.0,3.4875972270965576,0.10496530868113041,1000.0,0.0,0.0,0.9459555936711175,0.0,3111.335727040199,0.0,325.7032034737723,0.0,0.5939370736346409,0.0,2.0407701573498764,0.0,64.68845878208855,0.06081735553840796,325.7032034737723,0.0,2.0407701573498764,0.0,0.5939370736346409,0.8810442342870494,0.9459555936711175,2.0407701573498764,37.9987070719401,362.9891681546899
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,4,2.024910920139237,0.44695998753110566,1.7676295379797617,0.0,3.956644110057665,0.10562706353763739,1000.0,0.0,0.0,0.9316470856251924,0.0,3036.778046535013,0.0,326.851818582286,0.0,0.7080048103373598,0.0,2.047793092513726,0.0,18.904071929662123,0.059797113326688606,326.851818582286,0.0,2.047793092513726,0.0,0.7080048103373598,0.922402278755886,0.9316470856251924,2.047793092513726,31.32329928080241,291.0245627929387
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,5,2.024910920139237,0.5134345697859923,1.6472364296515782,0.0,3.917115637234279,0.10526737309992314,1000.0,0.0,0.0,0.9207647570541927,0.0,3035.3258836373097,0.0,325.9593266078404,0.0,0.7739382032006294,0.0,2.0479707212788294,0.0,5.186810258908996,0.05952884666621685,325.9593266078404,0.0,2.0479707212788294,0.0,0.7739382032006294,0.9399577244771864,0.9207647570541927,2.0479707212788294,19.014294052124022,177.0606765455097
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,6,2.0554772808114543,0.572699570034941,1.5376452654600143,0.0,4.12784517288208,0.10423831567168236,1000.0,0.0,0.0,0.9287334299087524,0.0,3125.748672367891,0.0,321.1074694824219,0.0,0.8901921291506737,0.0,2.0125258595825026,0.0,25.663940195441246,3.321012516319752,321.1074694824219,0.0,2.0125258595825026,0.0,0.8901921291506737,0.9600342018003355,0.9287334299087524,2.0125258595825026,33.44869473775228,325.59882003832195
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,7,2.0590105348974785,0.6234045668194691,1.4368174011508623,0.0,3.9731379111607867,0.10219281700750192,1000.0,0.0,0.0,0.9331843217213949,0.0,3167.280478659949,0.0,316.97345072428385,0.0,1.055114740950669,0.0,1.9841242272324855,0.0,73.2597013361752,4.434403247013688,316.97345072428385,0.0,1.9841242272324855,0.0,1.055114740950669,0.9629530202948228,0.9331843217213949,1.9841242272324855,39.62168134053548,395.9100598324937
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,8,2.117174980417237,0.6602229011555513,1.3489448363582293,0.0,4.312686425668222,0.09905518218874931,1000.0,0.0,0.0,0.9421022357764067,0.0,3105.142673129046,0.0,310.4179224084925,0.0,1.1821652150411945,0.0,1.947861628177292,0.0,34.64742746411098,9.583663931737343,310.4179224084925,0.0,1.947861628177292,0.0,1.1821652150411945,0.9493613168411326,0.9421022357764067,1.947861628177292,34.9220162709554,349.3285507270176
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,9,2.1556541212777574,0.6860116479297479,1.2753039414683978,0.0,5.485970079898834,0.09487258046865463,1000.0,0.0,0.0,0.8815921157598495,0.0,3383.1139766265633,0.0,325.0967086791992,0.0,1.2366926841661459,0.0,2.0386784065957237,0.0,7.498555037908955,0.06574583289523919,325.0967086791992,0.0,2.0386784065957237,0.0,1.2366926841661459,0.9422042369453316,0.8815921157598495,2.0386784065957237,27.09139238993327,281.9261647188803
