algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,noise_norm_honest,noise_norm_attacker,eps_n_honest,eps_n_attacker,krum_score_honest,krum_score_attacker,sigma_n_honest,sigma_n_attacker,sigma_dp_honest,sigma_dp_attacker,nsr_honest,nsr_attacker,n_dp_norm_honest,n_dp_norm_attacker,trust_honest,trust_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,0,3.388119644209612,0.12472082997361819,4.535199280579885,0.0,28.649732523379118,0.10573742551108202,1000.0,0.0,0.0,318.33044460130776,0.0,1.6234739961837725,0.0,58422.37484714674,27194.510384114583,1.9953948298140116,0.0,1.9953948298140116,0.0,3011.0913802083123,0.0,318.33044460130776,0.0,1.0,0.0,1.6234739961837725,1.6925886452557848,1.0,1.9953948298140116,152.53333803812663,1442.8146196831497
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,1,4.0450098539499,0.1603254131351908,4.930154239137967,0.0,19.763797304847024,0.10039781257510186,1000.0,0.0,0.0,430.6744117421552,0.0,2.6979234066858035,0.0,21510.750661802685,16173.179020182291,2.699586248424936,0.0,2.699586248424936,0.0,2276.0219058840685,0.0,430.6744117421552,0.0,0.6334259318234015,0.0,2.6979234066858035,1.5575634888812795,0.6334259318234015,2.699586248424936,217.1316825866699,1147.4943775498843
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,2,5.071158275927131,0.18619582870354254,8.496434154609839,0.0,23.61432731870947,0.1035082545131445,1000.0,0.0,0.0,456.1905533363079,0.0,3.3835758428227716,0.0,22030.408855569774,10135.135400390625,2.8600334066104116,0.0,2.8600334066104116,0.0,1788.4595573622073,0.0,456.1905533363079,0.0,0.5376141854433407,0.0,3.3835758428227716,1.3418330446419409,0.5376141854433407,2.8600334066104116,220.4921007792155,864.4221193917336
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,3,5.881275458372916,0.2015791613298158,17.059674500425658,0.0,33.759282637027,0.10488454749186833,1000.0,0.0,0.0,429.8163917295394,0.0,3.969223395048881,0.0,68032.36942414315,39489.9103515625,2.695694280916099,0.0,2.695694280916099,0.0,1619.3932577172552,0.0,429.8163917295394,0.0,0.6077568621765221,0.0,3.969223395048881,1.1737433164481499,0.6077568621765221,2.695694280916099,222.0718023935954,836.6865164872486
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,4,6.673167994128174,0.20830999448274573,28.837277009586494,0.0,42.35553952247378,0.10538295979301135,1000.0,0.0,0.0,402.6654459635417,0.0,4.495949210568038,0.0,105785.53075396825,54591.27825520833,2.5240870751866726,0.0,2.5240870751866726,0.0,1497.7573281711193,0.0,402.6654459635417,0.0,0.6832488436724932,0.0,4.495949210568038,1.0162073719802036,0.6832488436724932,2.5240870751866726,211.39935913085938,786.3225972898376
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,5,7.557361621922667,0.22193916114047169,47.69823202888171,0.0,50.39802947442137,0.10553828688959281,1000.0,0.0,0.0,386.4698011336788,0.0,4.928762305637071,0.0,150588.3601310484,70855.71184895834,2.4223530699158307,0.0,2.4223530699158307,0.0,1142.0462338786049,0.0,386.4698011336788,0.0,0.7235804976700174,0.0,4.928762305637071,1.0672164814851464,0.7235804976700174,2.4223530699158307,199.6760639190674,590.0572208372794
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,6,8.103486952830306,0.22806666108469167,66.98526984800895,0.0,59.24474706769991,0.10463236073652903,1000.0,0.0,0.0,350.94473830792083,0.0,5.360058381647951,0.0,174428.7884059874,109639.03463541667,2.200236400172224,0.0,2.200236400172224,0.0,996.1502487968742,0.0,350.94473830792083,0.0,0.8289292958103308,0.0,5.360058381647951,1.084193532721434,0.8289292958103308,2.200236400172224,174.01009941101074,493.92449836178344
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,7,8.661489457686347,0.23348832704747716,94.49083762516578,0.0,63.25081698875874,0.10284827041129271,1000.0,0.0,0.0,343.5982971191406,0.0,5.800858065351056,0.0,226956.34790039062,122018.93580729167,2.1534683049488432,0.0,2.1534683049488432,0.0,801.6657173128513,0.0,343.5982971191406,0.0,0.8422542700718623,0.0,5.800858065351056,1.1132301695849751,0.8422542700718623,2.1534683049488432,183.25242513020834,427.55504923352066
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,8,9.231393535612053,0.24719541082158686,119.86526132921378,0.0,67.72924792355505,0.09986579306423664,1000.0,0.0,0.0,331.38097197433996,0.0,6.185062978832837,0.0,223950.95783943965,128564.58333333333,2.0774370481367606,0.0,2.0774370481367606,0.0,631.4827848133214,0.0,331.38097197433996,0.0,0.8718566207279419,0.0,6.185062978832837,1.142093476954695,0.8718566207279419,2.0774370481367606,160.16746978759767,305.2166793264386
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,9,9.81201608728334,0.262895410352697,146.04857294311125,0.0,70.35003458250553,0.09603212947646776,1000.0,0.0,0.0,327.0555943480325,0.0,6.52259390972398,0.0,226188.67431192662,126681.6515625,2.049487366491319,0.0,2.049487366491319,0.0,537.8261062621768,0.0,327.0555943480325,0.0,0.8757968557263733,0.0,6.52259390972398,1.1692500031212576,0.8757968557263733,2.049487366491319,148.53774909973146,244.26268992740535
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,10,10.39537934386695,0.27830415992066265,170.26046211173136,0.0,72.03939215920188,0.09150201256076494,1000.0,0.0,0.0,322.4916595458984,0.0,6.862390734412432,0.0,258406.60007102272,153088.91354166667,2.022083332667409,0.0,2.022083332667409,0.0,440.2668737222925,0.0,322.4916595458984,0.0,0.8796279186552222,0.0,6.862390734412432,1.1724666715367704,0.8796279186552222,2.022083332667409,147.8086772918701,201.78898378938405
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,11,10.39537934386695,0.28564290928964814,204.89265623042982,0.0,73.67774855504271,0.0867192563911279,1000.0,0.0,0.0,318.1683479684298,0.0,7.229430428713171,0.0,306496.3717981557,180776.78958333333,1.9941507355198425,0.0,1.9941507355198425,0.0,472.5904657019469,0.0,318.1683479684298,0.0,0.8839453610240436,0.0,7.229430428713171,1.1524059527077997,0.8839453610240436,1.9941507355198425,161.73557688395184,240.23348673182304
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,12,10.39537934386695,0.296365409437567,242.8457490414381,0.0,74.56324199676514,0.08243777689834436,1000.0,0.0,0.0,318.7840617675781,0.0,7.574783846473404,0.0,305664.2415,189077.31901041666,1.9980703822732837,0.0,1.9980703822732837,0.0,435.0450776417597,0.0,318.7840617675781,0.0,0.8704561285972595,0.0,7.574783846473404,1.1557879359554772,0.8704561285972595,1.9980703822732837,166.03336550394695,226.5859779384165
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,13,10.923125314040742,0.31112624195714794,276.13883724808693,0.0,76.76918712415193,0.07866299611826738,1000.0,0.0,0.0,312.8723468445895,0.0,7.876044223115985,0.0,319454.1636513158,125498.59440104167,1.9602638669451564,0.0,1.9602638669451564,0.0,371.0059217161253,0.0,312.8723468445895,0.0,0.8806352699012087,0.0,7.876044223115985,1.1669351986269076,0.8806352699012087,1.9602638669451564,148.61436475118,176.22781281515952
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,14,11.489243637908668,0.3245854084379971,308.5638316273689,0.0,77.40326285362244,0.07623308139542738,1000.0,0.0,0.0,309.0814083644322,0.0,8.166185047329664,0.0,331691.94084821426,145286.31614583332,1.9381147124174452,0.0,1.9381147124174452,0.0,369.50800472946685,0.0,309.0814083644322,0.0,0.882102008908987,0.0,8.166185047329664,1.16093498798203,0.882102008908987,1.9381147124174452,144.23799057006835,172.4370688737512
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,15,11.731942576164125,0.3358949921404322,342.5549804409345,0.0,77.64402147376019,0.07690418635805447,1000.0,0.0,0.0,308.38435430112094,0.0,8.460383418480104,0.0,294575.0866847826,196880.96067708332,1.9333483192780963,0.0,1.9333483192780963,0.0,337.0707162151892,0.0,308.38435430112094,0.0,0.873583668988684,0.0,8.460383418480104,1.149703825699807,0.873583668988684,1.9333483192780963,147.76750310262045,161.5130515197782
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,16,11.76015829402804,0.34690790716558695,381.9469729820887,0.0,79.34474045191055,0.08332030785580476,1000.0,0.0,0.0,302.0215558435163,0.0,8.755914029327878,0.0,357665.0016025641,213690.00598958333,1.8947305933430054,0.0,1.8947305933430054,0.0,315.077142190174,0.0,302.0215558435163,0.0,0.8849289203301455,0.0,8.755914029327878,1.1449395674921534,0.8849289203301455,1.8947305933430054,147.2355084737142,153.6001068177098
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,17,12.213936963328862,0.3568779076760014,422.8357694307963,0.0,81.1478167326554,0.08577039154867332,1000.0,0.0,0.0,295.60025581691576,0.0,9.050684645204496,0.0,416051.6929347826,200825.00963541667,1.8532890231904,0.0,1.8532890231904,0.0,316.84224074162915,0.0,295.60025581691576,0.0,0.8982946696488754,0.0,9.050684645204496,1.146300576516954,0.8982946696488754,1.8532890231904,141.64178924560548,151.82024035536398
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,18,12.67621239177713,0.36441082463910185,472.3112232685089,0.0,80.99037920842406,0.09087071064859628,1000.0,0.0,0.0,294.62280423523947,0.0,9.364876143784844,0.0,404104.00576331967,236208.17161458332,1.8479499753937585,0.0,1.8479499753937585,0.0,302.99323025985353,0.0,294.62280423523947,0.0,0.8903632818675432,0.0,9.364876143784844,1.1619522178365478,0.8903632818675432,1.8479499753937585,149.7665921529134,154.02155871542556
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,19,12.67621239177713,0.37294540790220104,521.8934835275014,0.0,81.38304032736677,0.1002807093784213,1000.0,0.0,0.0,292.35820714438836,0.0,9.672194887174244,0.0,419892.2281504065,227574.07578125,1.833058192797727,0.0,1.833058192797727,0.0,297.9240268371706,0.0,292.35820714438836,0.0,0.8881778528050679,0.0,9.672194887174244,1.1967540635357785,0.8881778528050679,1.833058192797727,149.833581161499,152.6860637540499
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,20,12.67621239177713,0.3829779074837764,559.3999058564503,0.5126752448626849,80.85902286398,0.8439544846614202,1000.0,0.3591175085760409,0.8956550914276128,292.35342012602706,0.0,9.957320571967005,0.0,423813.1974676724,185331.94244791666,1.8325825904480793,0.0,1.8325825904480793,0.0,295.9100318849683,0.0,292.35342012602706,0.0,0.8772281839929778,0.0,9.957320571967005,1.1970705347419492,0.8772281839929778,1.8325825904480793,141.30415306091308,143.02318207773467
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,21,12.67621239177713,0.392979573768874,605.8909130255381,0.5217185801389611,82.12618258903767,0.9999999811251958,1000.0,0.3679578638575905,0.8962325430334525,287.1306496981917,0.0,10.244362530725416,0.0,412868.990705819,216081.7578125,1.799659492912245,0.0,1.799659492912245,0.0,289.940636229598,0.0,287.1306496981917,0.0,0.8862513771344875,0.0,10.244362530725416,1.2364184600133608,0.8862513771344875,1.799659492912245,138.77981402079266,140.13797417763902
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,22,13.071648537241709,0.40203248932957647,659.9782057444255,0.5192881019062245,82.62619614801487,0.999999984105428,1000.0,0.3656255963361109,0.8957456755493222,283.60989200367646,0.0,10.535863216680225,0.0,392727.8784138655,247172.3125,1.7780239570426342,0.0,1.7780239570426342,0.0,285.9739837176743,0.0,283.60989200367646,0.0,0.8885132264690239,0.0,10.535863216680225,1.2831993887369562,0.8885132264690239,1.7780239570426342,140.62323811848958,141.79543359334684
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,23,13.434220373848524,0.41267207233856124,694.3736964702606,0.5556995490124929,82.06752896990095,0.9999999821186065,1000.0,0.4021005251312828,0.8991779902700889,282.23150954473584,0.0,10.785546225029726,0.0,368121.69181547617,194145.13567708334,1.7693993806657866,0.0,1.7693993806657866,0.0,283.2778955704973,0.0,282.23150954473584,0.0,0.8827172994613648,0.0,10.785546225029726,1.29242471763818,0.8827172994613648,1.7693993806657866,123.47628542582194,123.93407931209256
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,24,13.92795204515908,0.41606873987863463,766.0007255395253,0.48031068609846744,82.78596269447385,0.9999999821186065,1000.0,0.3283846285616399,0.8938451973888716,278.84827359032084,0.0,11.097472456250014,0.0,502738.2290076336,239313.69583333333,1.7467257946148589,0.0,1.7467257946148589,0.0,279.0887024816359,0.0,278.84827359032084,0.0,0.8858780742601584,0.0,11.097472456250014,1.3437653795349298,0.8858780742601584,1.7467257946148589,152.20468266805014,152.33591677122624
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,25,14.180084414949027,0.4226574894040823,819.3643095175426,0.5141503107256226,81.74273003822516,0.9999999821186065,1000.0,0.36034342294917593,0.8970358814352574,278.6158533017497,0.0,11.382380348746572,0.0,422995.0863894628,233131.18229166666,1.7482115750257496,0.0,1.7482115750257496,0.0,280.06049934679066,0.0,278.6158533017497,0.0,0.8736496661320206,0.0,11.382380348746572,1.3469917680156482,0.8736496661320206,1.7482115750257496,140.46882603963215,141.19716842067362
