algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,krum_score_honest,krum_score_attacker,noise_norm_honest,noise_norm_attacker,eps_n_honest,eps_n_attacker,sigma_dp_honest,sigma_dp_attacker,sigma_n_honest,sigma_n_attacker,n_dp_norm_honest,n_dp_norm_attacker,trust_honest,trust_attacker,nsr_honest,nsr_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,300,0,1.1,1.0,0.1,iid,1.0,99999,0,2.3686261975277554,0.3598356566826503,1.9571802767117819,0.0,2.4550875186920167,0.0,1000.0,0.0,0.0,122.96622362136841,0.0,245.5083801269531,0.0,0.15790841316851703,0.0,1.5394829814011906,0.0,1.5394829814011906,0.0,245.5083801269531,0.0,1.0,0.0,726.5927892172278,0.0,0.15790841316851703,0.5908391805657333,1.0,1.5394829814011906,16.367225341796875,48.439519281148506
noise-game,scale,mnist,42,300,0,1.1,1.0,0.1,iid,1.0,99999,1,2.579030580989685,0.5700606523950895,1.5629340541362762,0.0,2.6790600299835203,0.0,1000.0,0.0,0.0,219.15587768554687,0.0,246.39586835588727,0.0,0.3982297004429341,0.0,1.544505063672601,0.0,1.544505063672601,0.0,246.39586835588727,0.0,0.9754222614424569,0.0,698.194320223709,0.0,0.3982297004429341,0.9016275727692225,0.9754222614424569,1.544505063672601,28.746184641520184,81.4560040260994
noise-game,scale,mnist,42,300,0,1.1,1.0,0.1,iid,1.0,99999,2,2.73548667044038,0.7287093151609103,1.2222101235389708,0.0,2.751549305454377,0.0,1000.0,0.0,0.0,199.91741894137473,0.0,239.99054742628527,0.0,0.6201718504763938,0.0,1.5035166570414384,0.0,1.5035166570414384,0.0,239.99054742628527,0.0,0.9813709566670079,0.0,725.062778570686,0.0,0.6201718504763938,1.0749068528226773,0.9813709566670079,1.5035166570414384,24.79902323404948,74.92315378563755
noise-game,scale,mnist,42,300,0,1.1,1.0,0.1,iid,1.0,99999,3,2.73548667044038,0.7806416471799215,0.9872308168808619,0.0,2.7195440530776978,0.0,1000.0,0.0,0.0,172.21519724527994,0.0,239.61961619059244,0.0,0.8136392618578917,0.0,1.5025703334987022,0.0,1.5025703334987022,0.0,239.61961619059244,0.0,0.9595551371574402,0.0,874.5770193350129,0.0,0.8136392618578917,1.1781026519201274,0.9595551371574402,1.5025703334987022,23.961961619059245,87.45770193350128
noise-game,scale,mnist,42,300,0,1.1,1.0,0.1,iid,1.0,99999,4,2.8061211570919546,0.8071616460879644,0.8365761351585388,0.0,2.899785367647807,0.0,1000.0,0.0,0.0,167.7208246866862,0.0,236.11033884684244,0.0,0.9942852793293165,0.0,1.480845593423584,0.0,1.480845593423584,0.0,236.11033884684244,0.0,0.9518137017885844,0.0,1053.1612323917097,0.0,0.9942852793293165,1.2450950435439765,0.9518137017885844,1.480845593423584,23.611033884684243,105.31612323917098
noise-game,scale,mnist,42,300,0,1.1,1.0,0.1,iid,1.0,99999,5,2.9343974973099343,0.8258269804716111,0.7340926587581634,0.0,3.1946790880627103,0.0,1000.0,0.0,0.0,128.27692286173502,0.0,236.32682037353516,0.0,1.0809909654758172,0.0,1.478744950874193,0.0,1.478744950874193,0.0,236.32682037353516,0.0,0.9295015434424082,0.0,1247.1523800368116,0.0,1.0809909654758172,1.2726875624833431,0.9295015434424082,1.478744950874193,14.17960922241211,74.8291428022087
noise-game,scale,mnist,42,300,0,1.1,1.0,0.1,iid,1.0,99999,6,3.0097007222585974,0.836894645690918,0.6654085352023442,0.0,3.107079352101972,0.0,1000.0,0.0,0.0,198.79273199266004,0.0,235.8632275981288,0.0,1.237345394345165,0.0,1.4786078024603653,0.0,1.4786078024603653,0.0,235.8632275981288,0.0,0.9050505565058801,0.0,1494.312713830242,0.0,1.237345394345165,1.3086338460259166,0.9050505565058801,1.4786078024603653,24.372533518473308,154.41231376245833
noise-game,scale,mnist,42,300,0,1.1,1.0,0.1,iid,1.0,99999,7,3.180941943634009,0.8451469798882802,0.6151442317167918,0.0,2.9329154561547672,0.0,1000.0,0.0,0.0,202.25700243781594,0.0,226.21137506821577,0.0,1.452076051666413,0.0,1.4187931033347596,0.0,1.4187931033347596,0.0,226.21137506821577,0.0,0.9250700280946844,0.0,1639.8137651387365,0.0,1.452076051666413,1.3271601459189282,0.9250700280946844,1.4187931033347596,25.637289174397786,185.84556004905681
noise-game,scale,mnist,42,300,0,1.1,1.0,0.1,iid,1.0,99999,8,3.245759199325475,0.850270644625028,0.5802705113093058,0.0,3.2382445798979864,0.0,1000.0,0.0,0.0,253.67208184136285,0.0,225.15235053168402,0.0,1.626071507472661,0.0,1.411444092312325,0.0,1.411444092312325,0.0,225.15235053168402,0.0,0.9045130064090093,0.0,1785.8864961155932,0.0,1.626071507472661,1.3362790802405211,0.9045130064090093,1.411444092312325,27.018282063802083,214.30637953387117
noise-game,scale,mnist,42,300,0,1.1,1.0,0.1,iid,1.0,99999,9,3.473939041874662,0.8540916458765666,0.5531667037804922,0.0,3.6885199078491757,0.0,1000.0,0.0,0.0,240.90100015912736,0.0,223.5115612574986,0.0,1.745046647876956,0.0,1.4005359322540147,0.0,1.4005359322540147,0.0,223.5115612574986,0.0,0.8860292860439846,0.0,1976.2829410088548,0.0,1.745046647876956,1.3401398047986302,0.8860292860439846,1.4005359322540147,20.86107905069987,184.4530744941598
