algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,eps_n_honest,eps_n_attacker,n_rejected_honest,n_rejected_attacker,D_threshold_honest,D_threshold_attacker,V_agg_norm_honest,V_agg_norm_attacker,S_agg_norm_honest,S_agg_norm_attacker,eps_avg,eps_std,rho_t,trust_toward_honest,trust_toward_attacker
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.05,iid,1.0,99999,0,0.43822316387394394,0.3577309899777174,1.9622238139311472,0.0,0.3359999826976231,0.0,1000.0,1.0,0.0,0.438223163873944,0.0,0.0,0.0,0.7688513690948414,0.0,1.64137179510934,0.0,16.413717814854213,0.0,0.438223163873944,5.551115123125783e-17,0.5,0.9999002338014654,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.05,iid,1.0,99999,1,0.6587172855749813,0.562909652168552,1.5823524272441865,0.0,0.3489494174718857,0.0,1000.0,1.0,0.0,0.6587172855749814,0.0,0.0,0.0,0.6117640742020787,0.0,1.0270464271306992,0.0,9.511600345373154,0.0,0.6587172855749814,1.1102230246251565e-16,0.75,0.9995286633369083,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.05,iid,1.0,99999,2,0.9156025737315302,0.7209349821011225,1.2507680209477743,0.0,0.32891451120376586,0.0,1000.0,1.0,0.0,0.9156025737315303,0.0,0.0,0.0,0.47650987045234994,0.0,0.7963456471761068,0.0,7.357447115580241,0.0,0.9156025737315303,1.1102230246251565e-16,1.0,0.9991690932377881,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.05,iid,1.0,99999,3,1.2236439279487903,0.7791359799106916,1.0185790534814199,0.0,0.2774566873908043,0.0,1000.0,1.0,0.0,1.2236439279487905,0.0,0.0,0.0,0.3548208508819191,0.0,0.5158808261156083,0.0,4.893862295150757,0.0,1.2236439279487905,2.220446049250313e-16,1.25,0.998590516134242,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.05,iid,1.0,99999,4,1.4837902037310817,0.8102046463886897,0.8579544172684351,0.0,0.22374932255063737,0.0,1000.0,1.0,0.0,1.4837902037310817,0.0,0.0,0.0,0.2597207396123896,0.0,0.4573827236890793,0.0,4.488017167363848,0.0,1.4837902037310817,0.0,1.5,0.9983180890828051,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.05,iid,1.0,99999,5,1.9727238101733227,0.8298623126745224,0.7474160418907801,0.0,0.2037320766184065,0.0,1000.0,1.0,0.0,1.972723810173323,0.0,0.0,0.0,0.22641614857992665,0.0,0.5304832888974084,0.0,4.307394372092353,0.0,1.972723810173323,4.440892098500626e-16,1.75,0.9981660219430303,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.05,iid,1.0,99999,6,2.1303292488212286,0.8433849775791168,0.6705946491161983,0.0,0.1634364495674769,0.0,1000.0,1.0,0.0,2.1303292488212286,0.0,0.0,0.0,0.1793055537214995,0.0,0.4261487364768982,0.0,2.8096407731374105,0.0,2.1303292488212286,0.0,2.0,0.9978072355548938,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.05,iid,1.0,99999,7,2.5387779177013985,0.8529089798529943,0.6146456948916117,0.0,0.13881968955198923,0.0,1000.0,1.0,0.0,2.5387779177013985,0.0,0.0,0.0,0.1426251538069698,0.0,0.283417037791676,0.0,2.068810913297865,0.0,2.5387779177013985,0.0,2.25,0.9973017814428949,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.05,iid,1.0,99999,8,2.809506706329673,0.8600236461559931,0.5726832443475723,0.0,0.12600653812937115,0.0,1000.0,1.0,0.0,2.8095067063296724,0.0,0.0,0.0,0.13043096745486848,0.0,0.33823852759340534,0.0,1.7197531980016958,0.0,2.8095067063296724,4.440892098500626e-16,2.5,0.9965082725496794,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.05,iid,1.0,99999,9,3.2401803742070685,0.8657019807895024,0.539305783311526,0.0,0.1129123109082381,0.0,1000.0,1.0,0.0,3.240180374207068,0.0,0.0,0.0,0.12952880755174812,0.0,0.37251154002216125,0.0,1.8380244837866888,0.0,3.240180374207068,4.440892098500626e-16,2.75,0.9959793431806957,0.0
