algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,D_threshold_honest,D_threshold_attacker,S_agg_norm_honest,S_agg_norm_attacker,eps_n_honest,eps_n_attacker,V_agg_norm_honest,V_agg_norm_attacker,n_rejected_honest,n_rejected_attacker,eps_avg,eps_std,rho_t,trust_toward_honest,trust_toward_attacker
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.1,iid,1.0,99999,0,0.19915050005527754,0.7591313143571218,1.1639137452840804,0.0,1.133546370267868,0.0,1000.0,1.0,0.0,5.4271064269596545,0.0,83.85524101257325,0.0,0.19915050005527757,0.0,25.15657329559326,0.0,0.0,0.0,0.19915050005527757,2.7755575615628914e-17,0.1,0.9981218809915265,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.1,iid,1.0,99999,1,0.27571840722987767,0.8148296466469764,0.7409550346930822,0.0,0.747189371926444,0.0,1000.0,0.0,0.0,3.1380648935586604,0.0,37.7488888331822,0.0,0.27571840722987767,0.0,12.777087920052665,0.0,0.8571428571428571,0.0,0.27571840722987767,0.0,0.10500000000000001,0.9927403997518771,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.1,iid,1.0,99999,2,0.3503996389397781,0.8510666456818581,0.5658244647582372,0.0,0.4592049583312004,0.0,1000.0,0.0,0.0,1.8957017059453711,0.0,24.98855313947124,0.0,0.35039963893977805,0.0,8.658382231189359,0.0,0.5161290322580645,0.0,0.35039963893977805,5.551115123125783e-17,0.11000000000000001,0.988457528727435,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.1,iid,1.0,99999,3,0.3961342370852162,0.8701336431503296,0.4735210825999578,0.0,0.29930933912595115,0.0,1000.0,0.0,0.0,1.3931364147176124,0.0,19.363923517862954,0.0,0.3961342370852162,0.0,7.503756046295166,0.0,0.26666666666666666,0.0,0.3961342370852162,0.0,0.11499999999999999,0.9845893409962755,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.1,iid,1.0,99999,4,0.44440955572683416,0.8790753106276195,0.430706080297629,0.0,0.24952407876650493,0.0,1000.0,0.0,0.0,1.1196396003262177,0.0,15.28239040374756,0.0,0.44440955572683416,0.0,5.844899717966715,0.0,1.0,0.0,0.44440955572683416,0.0,0.12,0.9809691410317536,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.1,iid,1.0,99999,5,0.49529044951455337,0.885991310874621,0.40027992020050684,0.0,0.2122571277949545,0.0,1000.0,0.0,0.0,1.0292918428639861,0.0,19.31928284962972,0.0,0.49529044951455337,0.0,7.360921965705024,0.0,0.6666666666666666,0.0,0.49529044951455337,0.0,0.125,0.9796822568866652,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.1,iid,1.0,99999,6,0.5488452360498607,0.8890263110399246,0.3881229947010676,0.0,0.18490362984518852,0.0,1000.0,0.0,0.0,1.0756494878165594,0.0,16.61203925840316,0.0,0.5488452360498607,0.0,7.266174716334189,0.0,1.032258064516129,0.0,0.5488452360498607,0.0,0.13,0.975681002106363,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.1,iid,1.0,99999,7,0.6051460009499283,0.8935049782196681,0.3697227578361829,0.0,0.15849597708267324,0.0,1000.0,0.0,0.0,0.8847433516970802,0.0,11.820654251996208,0.0,0.6051460009499284,0.0,5.177848850979524,0.0,1.0,0.0,0.6051460009499284,1.1102230246251565e-16,0.135,0.9708334434977077,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.1,iid,1.0,99999,8,0.6462276499514208,0.8953559786081314,0.36141359210014345,0.0,0.15728468696276346,0.0,1000.0,0.0,0.0,0.8318256663102169,0.0,11.53137273258633,0.0,0.6462276499514207,0.0,5.130411313639747,0.0,2.1666666666666665,0.0,0.6462276499514207,1.1102230246251565e-16,0.13999999999999999,0.9654582696784939,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.1,iid,1.0,99999,9,0.6807643645732986,0.897810977101326,0.3508337520559629,0.0,0.1455149743705988,0.0,1000.0,0.0,0.0,0.8073016548724957,0.0,12.722740309579033,0.0,0.6807643645732986,0.0,5.5330599290984015,0.0,1.8571428571428572,0.0,0.6807643645732986,0.0,0.145,0.9622032355430292,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.1,iid,1.0,99999,10,0.716742307050722,0.8987336428960164,0.3475611585378647,0.0,0.13558592895666757,0.0,1000.0,0.0,0.0,0.8889696397262099,0.0,13.262420050303142,0.0,0.7167423070507218,0.0,6.607573095957438,0.0,1.6666666666666667,0.0,0.7167423070507218,1.1102230246251565e-16,0.15000000000000002,0.9585299693391653,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.1,iid,1.0,99999,11,0.7541830316378536,0.9006849775711695,0.33908549000819527,0.0,0.13419709950685502,0.0,1000.0,0.0,0.0,0.7101730622540089,0.0,10.447402286529542,0.0,0.7541830316378536,0.0,5.053670247395833,0.0,3.2666666666666666,0.0,0.7541830316378536,0.0,0.15500000000000003,0.9546675101414897,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.1,iid,1.0,99999,12,0.7931087356144315,0.9018253109852473,0.33510325620571774,0.0,0.12418409000182974,0.0,1000.0,0.0,0.0,0.6732566031378685,0.0,11.796318909217572,0.0,0.7931087356144316,0.0,5.682152600123964,0.0,1.8620689655172413,0.0,0.7931087356144316,1.1102230246251565e-16,0.16000000000000003,0.9513908178431932,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.1,iid,1.0,99999,13,0.8335422900185603,0.9029383099079132,0.33188196072975795,0.0,0.13337861560285091,0.0,1000.0,0.0,0.0,0.6299908558710037,0.0,9.572875559329987,0.0,0.83354229001856,0.0,4.94403813034296,0.0,2.5,0.0,0.83354229001856,3.3306690738754696e-16,0.165,0.9471864968219151,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.1,iid,1.0,99999,14,0.875507272459064,0.9045209783315659,0.3247050600250562,0.0,0.11277421839811184,0.0,1000.0,0.0,0.0,0.6219207145283859,0.0,10.962525950537788,0.0,0.8755072724590639,0.0,5.2176238430870905,0.0,2.4444444444444446,0.0,0.8755072724590639,1.1102230246251565e-16,0.17000000000000004,0.9443179992586652,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.1,iid,1.0,99999,15,0.9190280021923549,0.9057053103049596,0.32084210733572643,0.0,0.11424784524285275,0.0,1000.0,0.0,0.0,0.6516006457487817,0.0,12.432830955671227,0.0,0.9190280021923547,0.0,5.783643515213676,0.0,2.869565217391304,0.0,0.9190280021923547,2.220446049250313e-16,0.17500000000000002,0.9421920749086656,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.1,iid,1.0,99999,16,0.9566488829267369,0.9067506432533264,0.31646151036024095,0.0,0.10978142641208789,0.0,1000.0,0.0,0.0,0.6432744312446701,0.0,10.635871904867667,0.0,0.9566488829267369,0.0,5.1127092749984175,0.0,3.6296296296296298,0.0,0.9566488829267369,0.0,0.18000000000000002,0.9394449482969089,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.1,iid,1.0,99999,17,0.9922973948594859,0.9075326426823934,0.3139307457208633,0.0,0.10667428309502809,0.0,1000.0,0.0,0.0,0.6453817404518599,0.0,12.186280167621115,0.0,0.9922973948594861,0.0,5.7740171888600225,0.0,2.347826086956522,0.0,0.9922973948594861,2.220446049250313e-16,0.18500000000000003,0.9374430733120693,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.1,iid,1.0,99999,18,1.029124317720718,0.9072276449203491,0.3162246377269427,0.0,0.1162930301600887,0.0,1000.0,0.0,0.0,0.8177319411272379,0.0,12.316994667053223,0.0,1.0291243177207183,0.0,6.954146431338403,0.0,3.7419354838709675,0.0,1.0291243177207183,2.220446049250313e-16,0.19,0.9336145432114968,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.1,iid,1.0,99999,19,1.0671443968435175,0.9084963087240855,0.31188329875469206,0.0,0.12015664151736669,0.0,1000.0,0.0,0.0,0.6304583527778244,0.0,11.642309484027681,0.0,1.0671443968435173,0.0,5.627615270160494,0.0,2.6666666666666665,0.0,1.0671443968435173,2.220446049250313e-16,0.19500000000000003,0.9318936375791768,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.1,iid,1.0,99999,20,1.1063727408468371,0.9093683111667633,0.3083916946252187,0.0,0.11091605722904205,0.0,1000.0,0.0,0.0,0.44273632166502014,0.0,6.457990439732869,0.0,1.106372740846837,0.0,3.6317211310068767,0.0,3.1333333333333333,0.0,1.106372740846837,2.220446049250313e-16,0.2,0.9281534687645979,0.0
