algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,S_agg_norm_honest,S_agg_norm_attacker,D_threshold_honest,D_threshold_attacker,V_agg_norm_honest,V_agg_norm_attacker,n_rejected_honest,n_rejected_attacker,eps_n_honest,eps_n_attacker,eps_avg,eps_std,rho_t,trust_toward_honest,trust_toward_attacker
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,99999,0,0.0949123373630964,0.37389059022068977,2.1009689812660217,0.0,0.17456878535449505,0.0,1000.0,1.0,0.0,19.290531158447266,0.0,0.8917689150574912,0.0,5.787159502506256,0.0,0.0,0.0,0.09491233736309641,0.0,0.09491233736309641,1.3877787807814457e-17,0.1,0.9995366464733696,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,99999,1,0.13278923138166737,0.5381335877776146,1.9051681180000306,0.0,0.17938476180036864,0.0,1000.0,0.0,0.0,17.04347789287567,0.0,0.8764337454115431,0.0,5.2102110385894775,0.0,0.08333333333333333,0.0,0.13278923138166737,0.0,0.13278923138166737,0.0,0.10500000000000001,0.9987006134910433,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,99999,2,0.16351436494848867,0.6303021829426289,1.7043314461708068,0.0,0.18208119880270074,0.0,1000.0,1.0,0.0,15.104431823447898,0.0,0.8412500085566855,0.0,4.616643570087574,0.0,0.0,0.0,0.16351436494848867,0.0,0.16351436494848867,0.0,0.11000000000000001,0.9976141246986564,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,99999,3,0.18692084843382517,0.6886423836946487,1.5129762847423553,0.0,0.17771936101572855,0.0,1000.0,1.0,0.0,13.527891022818428,0.0,0.7848460790802341,0.0,4.145526732717242,0.0,0.0,0.0,0.18692084843382517,0.0,0.18692084843382517,0.0,0.11499999999999999,0.9963835233295891,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,99999,4,0.21167068818243637,0.7336479822397232,1.3375444362163544,0.0,0.16812907044704145,0.0,1000.0,1.0,0.0,13.410653921274038,0.0,0.7092283786699857,0.0,4.052387567666861,0.0,0.0,0.0,0.2116706881824363,0.0,0.2116706881824363,5.551115123125783e-17,0.12,0.99540833879581,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,99999,5,0.23614582827288252,0.7645217816829681,1.1833212249279021,0.0,0.16018220260739327,0.0,1000.0,0.0,0.0,13.58169059753418,0.0,0.6595906066746927,0.0,4.369101548194886,0.0,0.2,0.0,0.2361458282728825,0.0,0.2361458282728825,2.7755575615628914e-17,0.125,0.9947034470790628,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,99999,6,0.25628273444403,0.787308980345726,1.054906152486801,0.0,0.14439997618848627,0.0,1000.0,1.0,0.0,11.593141078948975,0.0,0.5834085413727434,0.0,3.7848974899812178,0.0,0.0,0.0,0.2562827344440301,0.0,0.2562827344440301,1.1102230246251565e-16,0.13,0.9939761869749244,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,99999,7,0.2774064427344603,0.802868581533432,0.9523760427236557,0.0,0.12941028486038075,0.0,1000.0,0.0,0.0,8.804415242425327,0.0,0.5098430960636814,0.0,2.904493373015831,0.0,0.06896551724137931,0.0,0.27740644273446025,0.0,0.27740644273446025,5.551115123125783e-17,0.135,0.9927004325431285,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,99999,8,0.2995392611118389,0.8138773798942566,0.8708378994464874,0.0,0.11905163269618461,0.0,1000.0,0.0,0.0,8.548407275101233,0.0,0.4782391355478174,0.0,3.0919719728930244,0.0,0.5517241379310345,0.0,0.29953926111183893,0.0,0.29953926111183893,5.551115123125783e-17,0.13999999999999999,0.9914071776782891,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,99999,9,0.32270460275569296,0.8224129782915115,0.8049120374917984,0.0,0.10716720836030112,0.0,1000.0,0.0,0.0,8.670678244696724,0.0,0.44894001864926014,0.0,3.212065511279636,0.0,0.4444444444444444,0.0,0.3227046027556929,0.0,0.3227046027556929,5.551115123125783e-17,0.145,0.9904111481112009,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,99999,10,0.34692708104097986,0.8292243803739547,0.7519026213884353,0.0,0.09715290920388314,0.0,1000.0,0.0,0.0,6.804281142450148,0.0,0.3959947580098026,0.0,2.632275789014755,0.0,0.3870967741935484,0.0,0.3469270810409798,0.0,0.3469270810409798,5.551115123125783e-17,0.15000000000000002,0.9889993274964961,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,99999,11,0.3685724446079026,0.8352551805973053,0.7076905691623687,0.0,0.08988446940978369,0.0,1000.0,0.0,0.0,6.533267084757487,0.0,0.3732918729654217,0.0,2.63303036292394,0.0,0.3333333333333333,0.0,0.36857244460790267,0.0,0.36857244460790267,5.551115123125783e-17,0.15500000000000003,0.9876507778190097,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,99999,12,0.38384216568132923,0.8396557801961899,0.6720021661520005,0.0,0.08257764726877212,0.0,1000.0,0.0,0.0,6.076705249150594,0.0,0.3534594080038243,0.0,2.5875874678293864,0.0,0.6,0.0,0.38384216568132923,0.0,0.38384216568132923,0.0,0.16000000000000003,0.9861127763691927,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,99999,13,0.39969085662977155,0.8436979793310165,0.6415769584178924,0.0,0.07628103621579983,0.0,1000.0,0.0,0.0,6.185330267305727,0.0,0.33137930253782,0.0,2.672469977979307,0.0,0.4444444444444444,0.0,0.39969085662977155,0.0,0.39969085662977155,0.0,0.165,0.9849891326548952,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,99999,14,0.4161265825716942,0.8476409785747528,0.6151127799749374,0.0,0.07034209825926357,0.0,1000.0,0.0,0.0,6.908314784367879,0.0,0.2971887978586467,0.0,2.537186470296648,0.0,0.4444444444444444,0.0,0.4161265825716942,0.0,0.4161265825716942,0.0,0.17000000000000004,0.9845224988204699,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,99999,15,0.4331576432268386,0.8505833785533905,0.5932895683050156,0.0,0.06734752606438554,0.0,1000.0,0.0,0.0,6.145415223163107,0.0,0.29643982853298806,0.0,2.5629004913827647,0.0,0.43478260869565216,0.0,0.4331576432268386,0.0,0.4331576432268386,0.0,0.17500000000000002,0.9837390639503109,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,99999,16,0.4507925844129107,0.8532425807714462,0.5743821092844009,0.0,0.0639983528914551,0.0,1000.0,0.0,0.0,6.150090297063191,0.0,0.3059670742154826,0.0,2.738384728630384,0.0,1.1666666666666667,0.0,0.45079258441291076,0.0,0.45079258441291076,5.551115123125783e-17,0.18000000000000002,0.9828504927252751,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,99999,17,0.4690402103806225,0.8556453788280487,0.5576251709461212,0.0,0.058722734451293945,0.0,1000.0,0.0,0.0,5.734293655915693,0.0,0.26659186237179405,0.0,2.3223682967099277,0.0,0.45454545454545453,0.0,0.46904021038062255,0.0,0.46904021038062255,5.551115123125783e-17,0.18500000000000003,0.9821550831429301,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,99999,18,0.48790959707163273,0.8577481781244278,0.543218789100647,0.0,0.05662573128938675,0.0,1000.0,0.0,0.0,5.865830836088761,0.0,0.2810164308651114,0.0,2.572548192480336,0.0,0.34782608695652173,0.0,0.4879095970716329,0.0,0.4879095970716329,1.6653345369377348e-16,0.19,0.9812804409943262,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,99999,19,0.5074101063951786,0.859618177652359,0.5303002347946167,0.0,0.05431842533024875,0.0,1000.0,0.0,0.0,4.840712384744124,0.0,0.22826273713780346,0.0,2.0503950985995205,0.0,0.45454545454545453,0.0,0.5074101063951787,0.0,0.5074101063951787,1.1102230246251565e-16,0.19500000000000003,0.9805249367821631,0.0
