algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,V_agg_norm_honest,V_agg_norm_attacker,eps_n_honest,eps_n_attacker,S_agg_norm_honest,S_agg_norm_attacker,D_threshold_honest,D_threshold_attacker,n_rejected_honest,n_rejected_attacker,eps_avg,eps_std,rho_t,trust_toward_honest,trust_toward_attacker
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.1,iid,1.0,99999,0,0.6993179513789466,0.34605165707568325,1.9781820368766785,0.0,0.33800400197505953,0.0,1000.0,1.0,0.0,0.9721654057502747,0.0,0.6993179513789467,0.0,9.72165379524231,0.0,0.7733292745383729,0.0,0.0,0.0,0.6993179513789467,1.1102230246251565e-16,0.5,0.9992478247822353,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.1,iid,1.0,99999,1,1.1479571232954866,0.5416003190229336,1.6208323494593302,0.0,0.34960984076772417,0.0,1000.0,1.0,0.0,0.6741343702588762,0.0,1.1479571232954868,0.0,6.070855195181711,0.0,0.6147694216904038,0.0,0.0,0.0,1.1479571232954868,2.220446049250313e-16,0.75,0.9972188568165029,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.1,iid,1.0,99999,2,1.581477731535613,0.6979086501896381,1.3002932167053223,0.0,0.3320815534360947,0.0,1000.0,1.0,0.0,0.5564793579040035,0.0,1.5814777315356132,0.0,4.964938609830795,0.0,0.48332438013872003,0.0,0.0,0.0,1.5814777315356132,2.220446049250313e-16,1.0,0.995558554884256,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.1,iid,1.0,99999,3,2.1574717805090065,0.767357980310917,1.06147629459699,0.0,0.2853523711363474,0.0,1000.0,1.0,0.0,0.5033190697431564,0.0,2.1574717805090065,0.0,3.959073479970296,0.0,0.37048782794291324,0.0,0.0,0.0,2.1574717805090065,0.0,1.25,0.994084266000252,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.1,iid,1.0,99999,4,2.493232829590705,0.8028496466080348,0.8949542351563772,0.0,0.23881973524888356,0.0,1000.0,1.0,0.0,0.4179883768161138,0.0,2.4932328295907054,0.0,3.1404243628184,0.0,0.2898238555484811,0.0,0.0,0.0,2.4932328295907054,4.440892098500626e-16,1.5,0.9927096143061946,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.1,iid,1.0,99999,5,3.0348268017652114,0.8249299802382787,0.7753355654080709,0.0,0.2049405343002743,0.0,1000.0,1.0,0.0,0.4705399125814438,0.0,3.034826801765212,0.0,3.3380931350919933,0.0,0.23970682933265314,0.0,0.0,0.0,3.034826801765212,4.440892098500626e-16,1.75,0.9921693038251382,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.1,iid,1.0,99999,6,3.5543365349012,0.8389333101113637,0.6942352835337321,0.0,0.17178169710020866,0.0,1000.0,1.0,0.0,0.40936740944462435,0.0,3.5543365349012,0.0,2.197612770142094,0.0,0.20513225223626497,0.0,0.0,0.0,3.5543365349012,0.0,2.0,0.9906391910517343,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.1,iid,1.0,99999,7,4.1554629464853425,0.8492866466442744,0.6346111649274826,0.0,0.14587615430355072,0.0,1000.0,1.0,0.0,0.3116163729744799,0.0,4.1554629464853425,0.0,1.7085324946571798,0.0,0.16660636476661306,0.0,0.0,0.0,4.1554629464853425,0.0,2.25,0.9888046257267055,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.1,iid,1.0,99999,8,4.651993940465386,0.8568226446708044,0.5894765621423721,0.0,0.1313552831610044,0.0,1000.0,1.0,0.0,0.3033987109859784,0.0,4.651993940465386,0.0,1.4680679771635268,0.0,0.14658308048833313,0.0,0.0,0.0,4.651993940465386,0.0,2.5,0.9867234439090077,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.1,iid,1.0,99999,9,5.394641563899815,0.8630959775050481,0.5532490911086401,0.0,0.11863985311772142,0.0,1000.0,1.0,0.0,0.34613183247191565,0.0,5.394641563899817,0.0,1.6329378868852342,0.0,0.14203192751325375,0.0,0.0,0.0,5.394641563899817,1.7763568394002505e-15,2.75,0.9854276432614353,0.0
